"__leidenCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"129","1.7777777777777777","0.0","0.5625","1.0","4","2","false","POLR3GL","12.5","0","4",,"0","0","0","0.95679012345679","false","0","POLR3GL","0","0.6944444444444444"
"111","1.0","0.17708333333333331","1.0","0.4444444444444444","11","1","false","PTGS2","4.555555555555555","0","10","1","1","1","0","1.0","false","1","PTGS2","40","0.5061728395061729"
"111","1.5555555555555556","0.003472222222222222","0.6428571428571428","0.8333333333333334","4","2","false","EPB41L3","7.5","0","4","0","0","0","0","0.9382716049382717","false","0","EPB41L3","2","0.8333333333333334"
"7","1.25","0.5","0.8","0.3333333333333333","3","2","false","GPR146","2.0","0","3","0","0","0","0","0.9166666666666666","false","0","GPR146","6","0.5555555555555556"
"51","1.75","0.5","0.5714285714285714","0.0","2","3","false","STK3","1.5","0","2","0","0","0","0","0.625","false","0","STK3","6","0.5"
"136","1.0","0.3654892726321298","1.0","0.2967032967032967","16","1","false","PGR","4.857142857142857","0","15","1","1","1","0","1.0","false","1","PGR","128","0.3469387755102041"
"58","1.5714285714285714","0.2857142857142857","0.6363636363636364","0.3333333333333333","3","2","false","ERLEC1","3.0","0","3","0","0","0","0","0.8571428571428572","false","0","ERLEC1","12","0.4444444444444444"
"64","0.0","0.0","0.0","0.0","0","0","true","IKBKE-AS1","0.0","0","0",,"0","0","0","Infinity","false","0","IKBKE-AS1","0","0.0"
"48","0.0","0.0","0.0","0.0","0","0","true","KLK9","0.0","0","0",,"0","0","0","Infinity","false","0","KLK9","0","0.0"
"65","1.5","0.0","0.6666666666666666","0.0","1","2","false","DPH1","2.0","0","1","0","0","0","0","0.75","false","0","DPH1","0","0.0"
"141","1.0","0.40740740740740733","1.0","0.28888888888888886","10","1","false","VTN","3.6","0","10","1","1","1","0","1.0","false","0","VTN","64","0.36"
"141","1.8","0.0","0.5555555555555556","1.0","2","2","false","PFKL","9.0","0","2","0","0","0","0","0.9199999999999999","false","0","PFKL","0","0.9"
"144","1.0625","0.317500894083495","0.9411764705882353","0.167816091954023","30","2","false","COL5A3","6.866666666666666","0","30","1","1","1","0","0.9979166666666667","false","0","COL5A3","892","0.21458333333333332"
"145","1.0909090909090908","0.28909090909090907","0.9166666666666667","0.35555555555555557","10","2","false","RARS1","4.4","0","10","0","0","0","0","0.990909090909091","false","0","RARS1","66","0.4"
"91","0.0","0.0","0.0","0.0","0","0","true","ZNF669","0.0","0","0",,"0","0","0","Infinity","false","0","ZNF669","0","0.0"
"16","1.85","6.578947368421052E-4","0.5405405405405405","0.6666666666666666","3","2","false","SMIM44","15.0","0","3","0","0","0","0","0.9574999999999999","false","0","SMIM44","2","0.75"
"129","1.4444444444444444","0.04651416122004357","0.6923076923076923","0.4888888888888889","10","2","false","PRR5","8.0","0","10","0","0","0","0","0.9753086419753088","false","0","PRR5","46","0.4444444444444444"
"66","1.0","1.0","1.0","0.0","4","1","false","NPAS1","1.0","0","4","0","0","0","0","1.0","false","0","NPAS1","12","0.0"
"61","1.5","0.0","0.6666666666666666","0.0","1","2","false","FITM2","2.0","0","1","0","0","0","0","0.75","false","0","FITM2","0","0.0"
"157","1.1111111111111112","0.736111111111111","0.8999999999999999","0.14285714285714285","10","2","false","PTGS1","2.125","0","9","1","1","1","0","0.9861111111111112","false","1","PTGS1","58","0.2916666666666667"
"157","2.0","0.0","0.5","0.0","1","3","false","CLCA2","8.0","0","1",,"0","0","0","0.875","false","0","CLCA2","0","0.0"
"27","1.7307692307692308","0.0014079254079254078","0.5777777777777777","0.8571428571428571","7","2","false","ARHGAP28","15.714285714285714","0","7",,"0","0","0","0.9718934911242604","false","0","ARHGAP28","6","0.6043956043956044"
"49","1.5","0.0","0.6666666666666666","0.0","1","2","false","SNAP47","2.0","0","1","0","0","0","0","0.75","false","0","SNAP47","0","0.0"
"144","1.75","0.015853529993410657","0.5714285714285714","0.25","8","2","false","NCR1","11.875","0","8","0",,"0","0","0.975","false","0","NCR1","84","0.3790322580645161"
"5","1.0204081632653061","0.22869618085329374","0.98","0.16843971631205673","50","2","false","COL5A2","9.8125","0","49","1","1","1","0","0.9995748299319728","false","1","COL5A2","1876","0.2002551020408163"
"5","1.346938775510204","0.08233888093909827","0.7424242424242424","0.21169354838709678","32","2","false","RABL6","11.21875","0","32","0","0","0","0","0.9927721088435374","false","0","RABL6","782","0.22895408163265307"
"50","2.0","0.0","0.5","0.0","1","3","false","UTS2R","4.0","0","1",,"0","0","0","0.75","false","0","UTS2R","0","0.0"
"124","1.0","0.861111111111111","1.0","0.1111111111111111","11","1","false","GSK3B","1.8888888888888888","0","10","1","1","1","0","1.0","false","1","GSK3B","64","0.25925925925925924"
"124","1.6666666666666667","0.013888888888888888","0.6","0.6666666666666666","3","2","false","ZNF710","4.333333333333333","0","3","0","0","0","0","0.925925925925926","false","0","ZNF710","2","0.48148148148148145"
"44","1.0","0.4477941176470587","1.0","0.22058823529411764","19","1","false","BCL2","4.529411764705882","0","18","1","1","1","0","1.0","false","1","BCL2","212","0.2664359861591695"
"138","1.5","0.5","0.6666666666666666","0.0","2","2","false","CAPG","2.0","0","2","0","0","0","0","0.8333333333333334","false","0","CAPG","6","0.5"
"29","0.0","0.0","0.0","0.0","0","0","true","EGR3","0.0","0","0",,"0","0","0","Infinity","false","0","EGR3","0","0.0"
"89","1.0","0.4657017543859649","1.0","0.20526315789473684","22","1","false","TNFSF11","4.9","0","21","1","1","1","0","1.0","false","1","TNFSF11","302","0.245"
"89","1.75","0.008771929824561403","0.5714285714285714","0.6","5","2","false","HSP90AA4P","9.2","0","5","0","0","0","0","0.9625","false","0","HSP90AA4P","8","0.46"
"76","2.0","0.0","0.5","0.0","1","3","false","TCEANC","2.0","0","1","0","0","0","0","0.5","false","0","TCEANC","0","0.0"
"16","1.85","0.002631578947368421","0.5405405405405405","0.6666666666666666","3","2","false","IGKV2D-30","11.0","0","3","0",,"0","0","0.9574999999999999","false","0","IGKV2D-30","2","0.55"
"89","1.6","0.02719298245614035","0.625","0.4642857142857143","8","2","false","DCDC2C","8.375","0","8","0","0","0","0","0.97","false","0","DCDC2C","30","0.41875"
"92","0.0","0.0","0.0","0.0","0","0","true","FRMD6-AS1","0.0","0","0",,"0","0","0","Infinity","false","0","FRMD6-AS1","0","0.0"
"180","1.0","0.75","1.0","0.2","7","1","false","ESR1","1.8","0","6","1","1","1","0","1.0","false","1","ESR1","16","0.4666666666666667"
"180","1.6","0.0","0.625","1.0","2","2","false","TAOK3","4.0","0","2","0","0","0","0","0.8800000000000001","false","0","TAOK3","0","0.8"
"135","1.5","0.5","0.6666666666666666","0.0","2","2","false","LRFN3","2.0","0","2","0","0","0","0","0.8333333333333334","false","0","LRFN3","6","0.5"
"181","1.2","0.25","0.8333333333333334","0.5","6","2","false","NTRK1","2.75","0","5","1","1","1","0","0.95","false","1","NTRK1","10","0.55"
"181","1.4","0.4","0.7142857142857143","0.3333333333333333","3","2","false","IFNLR1","3.0","0","3","0","0","0","0","0.9","false","0","IFNLR1","12","0.6666666666666666"
"46","1.875","0.0018017153097798257","0.5333333333333333","0.3","5","3","false","RIPK2","17.6","0","5","0",,"0","0","0.96875","false","0","RIPK2","14","0.58"
