"__mclCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"4","1.9649122807017543","0.03508771929824561","0.5089285714285715","0.3333333333333333","3","3","false","RUNDC3B","25.333333333333332","0","3","0","0","0","0","0.9810801513587891","false","0","RUNDC3B","150","0.45454545454545453"
"6","2.074074074074074","0.0","0.48214285714285715","0.0","1","3","false","OR13C8","49.0","0","1","0",,"0","0","0.9780801209372637","false","0","OR13C8","0","0.0"
"21","1.7857142857142858","0.0027472527472527475","0.5599999999999999","0.6666666666666666","3","2","false","RPS6KC1","7.666666666666667","0","3",,"0","0","0","0.9438775510204082","false","0","RPS6KC1","2","0.5476190476190477"
"2","2.0319148936170213","0.01485902623406128","0.49214659685863876","0.2833333333333333","18","4","false","MAPK14","9.6875","0","17","1","1","1","0","0.9860552041403104","false","1","MAPK14","1524","0.12419871794871795"
"2","2.074468085106383","0.0031636756820595004","0.4820512820512821","0.4666666666666667","6","3","false","YME1L1","21.833333333333332","0","6","0","0","0","0","0.9854801610120758","false","0","YME1L1","314","0.26954732510288065"
"10","1.8","0.004814814814814814","0.5555555555555556","0.5238095238095238","7","3","false","DHRS13","13.0","0","7","0","0","0","0","0.9724137931034482","false","0","DHRS13","20","0.4482758620689655"
"4","1.9473684210526316","2.8195488721804513E-4","0.5135135135135135","0.7","5","3","false","ZNF311","22.0","0","5",,"0","0","0","0.9814241486068112","false","0","ZNF311","6","0.4"
"18","1.9333333333333333","0.0","0.5172413793103449","1.0","2","3","false","STX16","8.0","0","2","0",,"0","0","0.9333333333333333","false","0","STX16","0","0.5714285714285714"
"6","1.6296296296296295","0.03910883545886239","0.6136363636363636","0.23684210526315788","20","2","false","PMS2","12.8","0","20","0","0","0","0","0.9871504157218444","false","0","PMS2","404","0.23703703703703705"
"1","3.193103448275862","0.0","0.31317494600431967","1.0","2","5","false","CCKAR","42.5","0","2",,"0","0","0","0.9695402298850575","false","0","CCKAR","0","0.5902777777777778"
"17","1.9411764705882353","0.0","0.5151515151515151","0.0","1","2","false","ZNF582","17.0","0","1",,"0","0","0","0.9446366782006921","false","0","ZNF582","0","0.0"
"3","2.3736263736263736","1.175085828518839E-4","0.4212962962962963","0.6666666666666666","4","5","false","SLC2A11","31.5","0","4","0","0","0","0","0.9800923713967191","false","0","SLC2A11","34","0.44366197183098594"
"3","2.3956043956043955","1.1911902190215493E-4","0.41743119266055045","0.3333333333333333","3","5","false","ITFG2","45.333333333333336","0","3",,"0","0","0","0.9797738493390667","false","0","ITFG2","42","0.6521739130434783"
"17","1.8235294117647058","0.0012254901960784314","0.5483870967741935","0.6666666666666666","3","2","false","RHOBTB3","11.333333333333334","0","3","0","0","0","0","0.9515570934256055","false","0","RHOBTB3","2","0.6666666666666666"
"10","1.7","0.01497354497354497","0.5882352941176471","0.37777777777777777","10","3","false","SGCA","11.4","0","10","0","0","0","0","0.9758620689655173","false","0","SGCA","56","0.3931034482758621"
"1","3.2","0.0","0.3125","0.0","1","5","false","FKBP10","72.0","0","1","0","0","0","0","0.9694444444444444","false","0","FKBP10","0","0.0"
"17","1.8235294117647058","0.0012254901960784314","0.5483870967741935","0.6666666666666666","3","2","false","RASGEF1B","11.333333333333334","0","3","0","0","0","0","0.9515570934256055","false","0","RASGEF1B","2","0.6666666666666666"
,"0.0","0.0","0.0","0.0","0","0","true","KAT5","0.0","0","0","0","0","0","0","Infinity","false","0","KAT5","0","0.0"
"17","1.9411764705882353","0.0","0.5151515151515151","0.0","1","2","false","PLCZ1","17.0","0","1",,"0","0","0","0.9446366782006921","false","0","PLCZ1","0","0.0"
"2","1.9680851063829787","9.89996496990908E-4","0.5081081081081081","0.4722222222222222","9","3","false","UBA2","25.77777777777778","0","9",,"0","0","0","0.9869177688326626","false","0","UBA2","196","0.29292929292929293"
,"0.0","0.0","0.0","0.0","0","0","true","AP3B1","0.0","0","0","0","0","0","0","Infinity","false","0","AP3B1","0","0.0"
"10","1.8333333333333333","0.006206896551724137","0.5454545454545455","0.4","6","3","false","GTF2A1L","12.333333333333334","0","6","0","0","0","0","0.971264367816092","false","0","GTF2A1L","18","0.42528735632183906"
