"__mcodeCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
,"0.0","0.0","0.0","0.0","0","0","true","LRFN3","0.0","0","0","0","0","0","0","Infinity","false","0","LRFN3","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","NTRK1","0.0","0","0","1","1","1","0","Infinity","false","0","NTRK1","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","IFNLR1","0.0","0","0","0","0","0","0","Infinity","false","0","IFNLR1","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","RIPK2","0.0","0","0","0",,"0","0","Infinity","false","0","RIPK2","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","FOXRED2","0.0","0","0",,"0","0","0","Infinity","false","0","FOXRED2","0","0.0"
"2","1.6923076923076923","0.0","0.5909090909090909","1.0","4","2","false","OR9A1P","10.75","0","4",,"0","0","0","0.9467455621301776","false","0","OR9A1P","0","0.8269230769230769"
"6","2.111111111111111","0.08333333333333333","0.47368421052631576","0.6666666666666666","3","3","false","PGA4","3.3333333333333335","0","3","0","0","0","0","0.7777777777777778","false","0","PGA4","12","0.6666666666666666"
"24","2.6","0.24603174603174602","0.3846153846153846","0.16666666666666666","4","5","false","CFAP107","3.25","0","4","0","0","0","0","0.7333333333333334","false","0","CFAP107","110","0.39285714285714285"
,"0.0","0.0","0.0","0.0","0","0","true","NKX2-8","0.0","0","0","0","0","0","0","Infinity","false","0","NKX2-8","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","C3orf84","0.0","0","0","0","0","0","0","Infinity","false","0","C3orf84","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","PPM1J","0.0","0","0","0","0","0","0","Infinity","false","0","PPM1J","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","NPY4R","0.0","0","0","0","0","0","0","Infinity","false","0","NPY4R","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","CYB5RL","0.0","0","0","0","0","0","0","Infinity","false","0","CYB5RL","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","TBC1D28","0.0","0","0",,"0","0","0","Infinity","false","0","TBC1D28","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","CRTC3","0.0","0","0","0","0","0","0","Infinity","false","0","CRTC3","0","0.0"
"13","3.9393939393939394","0.0","0.25384615384615383","1.0","2","6","false","UAP1","7.5","0","2","0","0","0","0","0.706060606060606","false","0","UAP1","0","0.75"
,"0.0","0.0","0.0","0.0","0","0","true","NCAPG","0.0","0","0","0","0","0","0","Infinity","false","0","NCAPG","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","PDXDC1","0.0","0","0","0","0","0","0","Infinity","false","0","PDXDC1","0","0.0"
"15","1.0","0.16666666666666666","1.0","0.6666666666666666","5","1","false","JUN","2.3333333333333335","0","4","1","1","1","0","1.0","false","1","JUN","2","0.7777777777777778"
,"0.0","0.0","0.0","0.0","0","0","true","TPPP2","0.0","0","0","0","0","0","0","Infinity","false","0","TPPP2","0","0.0"
"13","4.484848484848484","0.0","0.222972972972973","1.0","2","6","false","PECAM1","2.5","0","2","0","0","0","0","0.6515151515151516","false","0","PECAM1","0","0.8333333333333334"
"25","4.333333333333333","0.0","0.23076923076923078","1.0","2","7","false","ZNF185","3.0","0","2",,"0","0","0","0.4444444444444445","false","0","ZNF185","0","0.75"
,"0.0","0.0","0.0","0.0","0","0","true","GABPA","0.0","0","0","0","0","0","0","Infinity","false","0","GABPA","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","CYB5A","0.0","0","0","0","0","0","0","Infinity","false","0","CYB5A","0","0.0"
"10","3.973684210526316","0.0012514619883040937","0.25165562913907286","0.8333333333333334","4","8","false","OR51M1","7.0","0","4","0","0","0","0","0.729665071770335","false","0","OR51M1","74","0.5384615384615384"
,"0.0","0.0","0.0","0.0","0","0","true","MOB2","0.0","0","0","0","0","0","0","Infinity","false","0","MOB2","0","0.0"
"14","1.0","0.16666666666666666","1.0","0.6666666666666666","3","1","false","CTSK","2.3333333333333335","0","3","1","1","1","0","1.0","false","0","CTSK","2","0.7777777777777778"
,"0.0","0.0","0.0","0.0","0","0","true","CASKIN2","0.0","0","0","0","0","0","0","Infinity","false","0","CASKIN2","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","CTNNA3","0.0","0","0","0","0","0","0","Infinity","false","0","CTNNA3","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","CHPF2","0.0","0","0",,"0","0","0","Infinity","false","0","CHPF2","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","VGLL3","0.0","0","0","0","0","0","0","Infinity","false","0","VGLL3","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","OOSP4A","0.0","0","0","0",,"0","0","Infinity","false","0","OOSP4A","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","BGLAP","0.0","0","0","1","1","1","0","Infinity","false","0","BGLAP","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","RUNDC3B","0.0","0","0","0","0","0","0","Infinity","false","0","RUNDC3B","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","OR13C8","0.0","0","0","0",,"0","0","Infinity","false","0","OR13C8","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","RPS6KC1","0.0","0","0",,"0","0","0","Infinity","false","0","RPS6KC1","0","0.0"
