"__mclCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2","1.0476190476190477","0.6324037209674005","0.9545454545454545","0.0655367231638418","60","2","false","COL5A3","5.666666666666667","0","60","1","1","1","0","0.9992063492063491","false","0","COL5A3","4924","0.09626436781609195"
"2","1.7777777777777777","0.016872827618734917","0.5625","0.3076923076923077","14","2","false","RARS1","10.285714285714286","0","14","0","0","0","0","0.987037037037037","false","0","RARS1","262","0.16326530612244897"
"4","1.96","0.0","0.5102040816326531","1.0","3","3","false","ZNF669","33.333333333333336","0","3",,"0","0","0","0.9804081632653061","false","0","ZNF669","0","0.6802721088435374"
"8","1.9411764705882353","2.228163992869875E-4","0.5151515151515151","0.6666666666666666","3","3","false","SMIM44","21.666666666666668","0","3","0","0","0","0","0.9714795008912657","false","0","SMIM44","2","0.6565656565656566"
"17","1.4444444444444444","0.04651416122004357","0.6923076923076923","0.4888888888888889","10","2","false","PRR5","8.0","0","10","0","0","0","0","0.9753086419753088","false","0","PRR5","46","0.4444444444444444"
"3","1.9152542372881356","0.003652834599649328","0.5221238938053098","0.38095238095238093","7","3","false","NPAS1","11.714285714285714","0","7","0","0","0","0","0.983942908117752","false","0","NPAS1","26","0.20551378446115287"
,"0.0","0.0","0.0","0.0","0","0","true","FITM2","0.0","0","0","0","0","0","0","Infinity","false","0","FITM2","0","0.0"
"25","1.0","0.8777777777777778","1.0","0.08888888888888889","12","1","false","PTGS1","1.8","0","11","1","1","1","0","1.0","false","1","PTGS1","82","0.26"
"25","1.9","0.0","0.5263157894736842","0.0","1","2","false","CLCA2","10.0","0","1",,"0","0","0","0.9099999999999999","false","0","CLCA2","0","0.0"
"10","1.7307692307692308","0.0014079254079254078","0.5777777777777777","0.8571428571428571","7","2","false","ARHGAP28","15.714285714285714","0","7",,"0","0","0","0.9718934911242604","false","0","ARHGAP28","6","0.6043956043956044"
"15","2.8095238095238093","0.0","0.35593220338983056","0.0","1","3","false","SNAP47","3.0","0","1","0","0","0","0","0.9095238095238095","false","0","SNAP47","0","0.0"
"2","1.8253968253968254","0.01458546362815821","0.5478260869565218","0.18181818181818182","11","2","false","NCR1","13.181818181818182","0","11","0",,"0","0","0.9862433862433863","false","0","NCR1","314","0.21311475409836064"
"1","1.3703703703703705","0.25474304561271355","0.7297297297297297","0.09771825396825397","66","4","false","COL5A2","8.046875","0","65","1","1","1","0","0.9942129629629629","false","1","COL5A2","11152","0.11810661764705882"
"1","1.6296296296296295","0.0516950876326309","0.6136363636363636","0.18319327731092436","35","3","false","RABL6","11.542857142857143","0","35","0","0","0","0","0.9901620370370371","false","0","RABL6","1408","0.1518796992481203"
