"__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1","3.5172413793103448","0.0","0.28431372549019607","1.0","2","6","false","OR51A2","39.0","0","2","0","0","0","0","0.9486277269528501","false","0","OR51A2","0","0.78"
"3","1.967741935483871","5.288207297726071E-4","0.5081967213114754","0.6666666666666666","4","3","false","REEP4","21.5","0","4","0","0","0","0","0.9833147942157953","false","0","REEP4","8","0.35833333333333334"
"15","3.4358974358974357","0.0","0.291044776119403","1.0","3","5","false","RAD54B","8.666666666666666","0","3",,"0","0","0","0.8782051282051283","false","0","RAD54B","0","0.7878787878787878"
"12","2.8780487804878048","0.014370446626544188","0.3474576271186441","0.0","2","5","false","MYT1","11.5","0","2",,"0","0","0","0.8895265423242468","false","0","MYT1","72","0.525"
"9","2.5406976744186047","0.005290375597717445","0.39359267734553777","0.4642857142857143","8","5","false","GID4","25.875","0","8","0","0","0","0","0.9729702162382702","false","0","GID4","1022","0.3102409638554217"
"9","2.7325581395348837","0.013624587766129825","0.36595744680851067","0.14285714285714285","8","5","false","EPB41L5","8.25","0","8","0","0","0","0","0.9696042431660548","false","0","EPB41L5","1768","0.16489361702127658"
"1","3.2551724137931033","0.0019414417617348875","0.3072033898305085","0.0","2","5","false","ZNF829","11.0","0","2","0","0","0","0","0.9539760731878958","false","0","ZNF829","186","0.5"
"17","1.8148148148148149","0.006410256410256411","0.5510204081632653","0.4666666666666667","6","3","false","ARMC2","10.166666666666666","0","6","0","0","0","0","0.9686609686609686","false","0","ARMC2","16","0.391025641025641"
"3","2.032258064516129","0.0","0.4920634920634921","1.0","2","3","false","ACOT4","34.5","0","2",,"0","0","0","0.982202447163515","false","0","ACOT4","0","0.5948275862068966"
"16","1.9705882352941178","0.0","0.5074626865671642","1.0","2","3","false","HSP90AA2P","22.5","0","2",,"0","0","0","0.9705882352941178","false","0","HSP90AA2P","0","0.6818181818181818"
"5","3.358974358974359","0.018668466036887082","0.29770992366412213","0.5","4","6","false","TAF4B","5.25","0","4","0","0","0","0","0.8034188034188033","false","0","TAF4B","70","0.4375"
"10","2.066666666666667","0.0","0.48387096774193544","1.0","2","4","false","","38.5","0","2","0","0","0","0","0.9786666666666666","false","0","","0","0.7"
"1","3.206896551724138","0.005016064018086568","0.3118279569892473","0.0","3","5","false","ZNF165","9.666666666666666","0","3","0","0","0","0","0.9549612948627727","false","0","ZNF165","756","0.37681159420289856"
"10","1.9833333333333334","9.865920948462798E-4","0.5042016806722689","0.6666666666666666","4","3","false","UEVLD","26.75","0","4","0","0","0","0","0.9803333333333333","false","0","UEVLD","54","0.4692982456140351"
"11","2.1724137931034484","0.0027489502545426235","0.4603174603174603","0.42857142857142855","8","4","false","CENPL","17.875","0","8","0","0","0","0","0.9819628647214854","false","0","CENPL","132","0.25905797101449274"
"12","3.2195121951219514","3.7746806039488966E-4","0.3106060606060606","0.8","5","5","false","LIG1","11.8","0","5","0","0","0","0","0.8694404591104735","false","0","LIG1","4","0.6941176470588235"
"8","2.46875","0.07570084485407065","0.4050632911392405","0.3333333333333333","3","4","false","TNFAIP3","9.666666666666666","0","3","0","0","0","0","0.908203125","false","0","TNFAIP3","306","0.4666666666666667"
"9","4.063953488372093","0.011627906976744186","0.24606580829756797","0.0","4","6","false","CSF1R","3.0","0","3","1","1","1","0","0.9462464300285598","false","1","CSF1R","1146","0.5"
"9","5.058139534883721","0.0","0.19770114942528735","0.0","1","7","false","ABCC11","2.0","0","1",,"0","0","0","0.9288045695634435","false","0","ABCC11","0","0.0"
"12","2.682926829268293","0.0014428660770124187","0.3727272727272727","0.8333333333333334","4","4","false","PCCA","15.25","0","4","0","0","0","0","0.9010043041606887","false","0","PCCA","32","0.8026315789473685"
"1","3.317241379310345","1.642036124794746E-4","0.3014553014553014","0.8333333333333334","4","5","false","PROS1","13.0","0","4","0","0","0","0","0.9527093596059113","false","0","PROS1","26","0.40625"
"11","2.32183908045977","0.0","0.4306930693069307","1.0","2","5","false","FBXO47","38.0","0","2",,"0","0","0","0.9796640141467728","false","0","FBXO47","0","0.5588235294117647"
"5","3.4871794871794872","0.05366621682411157","0.2867647058823529","0.3333333333333333","4","7","false","MRPS6","6.5","0","4","0","0","0","0","0.7927350427350427","false","0","MRPS6","194","0.5208333333333334"
"2","2.0","0.002555751182739004","0.5","0.6190476190476191","7","3","false","CKMT1B","42.142857142857146","0","7","0","0","0","0","0.9863013698630136","false","0","CKMT1B","568","0.4788961038961039"
"17","1.962962962962963","0.0","0.5094339622641509","1.0","2","3","false","KCNA5","17.0","0","2","0","0","0","0","0.962962962962963","false","0","KCNA5","0","0.6538461538461539"
"1","2.9517241379310346","0.0051268640687205606","0.338785046728972","0.4","5","4","false","FBF1","11.4","0","5",,"0","0","0","0.9601688951442645","false","0","FBF1","748","0.2780487804878049"
"3","2.0","3.0847875903402075E-4","0.5","0.6666666666666666","4","3","false","KIR3DL1","20.75","0","4",,"0","0","0","0.9827586206896551","false","0","KIR3DL1","4","0.3577586206896552"
"17","1.962962962962963","0.0","0.5094339622641509","1.0","2","3","false","WEE2","20.0","0","2",,"0","0","0","0.962962962962963","false","0","WEE2","0","0.7692307692307693"
"17","1.8888888888888888","4.748338081671415E-4","0.5294117647058824","0.8333333333333334","4","3","false","ZNF485","13.0","0","4","0","0","0","0","0.9658119658119658","false","0","ZNF485","2","0.5"
"13","1.9583333333333333","0.0","0.5106382978723405","1.0","2","3","false","IGHV4-38-2","19.0","0","2","0",,"0","0","0.9583333333333334","false","0","IGHV4-38-2","0","0.8260869565217391"
"9","2.8372093023255816","0.00325755746710982","0.3524590163934426","0.3333333333333333","4","5","false","MVD","12.75","0","4","0","0","0","0","0.9677682578539372","false","0","MVD","542","0.2976190476190476"
"9","2.755813953488372","0.005865379646600554","0.3628691983122363","0.0","4","4","false","TRIP10","14.25","0","4","0","0","0","0","0.9691962464300286","false","0","TRIP10","784","0.25980392156862747"
"15","3.41025641025641","0.005173189383715699","0.2932330827067669","0.8333333333333334","4","5","false","TTC39B","7.5","0","4","0","0","0","0","0.8794871794871796","false","0","TTC39B","44","0.6818181818181818"
"12","2.341463414634146","0.0","0.42708333333333337","1.0","2","3","false","INPP5E","13.5","0","2","0","0","0","0","0.9210903873744619","false","0","INPP5E","0","0.54"
"3","2.032258064516129","0.0","0.4920634920634921","1.0","2","3","false","CFHR2","40.5","0","2",,"0","0","0","0.982202447163515","false","0","CFHR2","0","0.6982758620689655"
"3","1.967741935483871","0.0018508725542041246","0.5081967213114754","0.4","6","3","false","UVSSA","15.833333333333334","0","6","0","0","0","0","0.9833147942157953","false","0","UVSSA","18","0.27298850574712646"
"18","2.2","0.2977011494252873","0.45454545454545453","0.0","2","4","false","MRTFA","11.5","0","2","0","0","0","0","0.9368421052631579","false","0","MRTFA","542","0.5"
"11","2.310344827586207","8.388392959659547E-5","0.4328358208955224","0.6666666666666666","3","5","false","POC1B","36.333333333333336","0","3","0","0","0","0","0.979840848806366","false","0","POC1B","26","0.5343137254901961"
"15","3.1794871794871793","0.0","0.31451612903225806","0.0","1","6","false","SMTNL1","20.0","0","1","0",,"0","0","0.8910256410256411","false","0","SMTNL1","0","0.0"
"9","3.63953488372093","3.4619124658612574E-4","0.2747603833865815","0.0","3","5","false","NEIL3","6.666666666666667","0","3","0","0","0","0","0.9536923704610364","false","0","NEIL3","58","0.37777777777777777"
"13","1.9166666666666667","0.0","0.5217391304347826","1.0","3","3","false","MEIS3P2","15.0","0","3","0","0","0","0","0.9601449275362318","false","0","MEIS3P2","0","0.6521739130434783"
"9","2.7732558139534884","5.424506604186012E-4","0.36058700209643607","0.6666666666666666","4","6","false","FOXI1","25.75","0","4","0","0","0","0","0.9688902488780089","false","0","FOXI1","170","0.3786764705882353"
"1","3.510344827586207","0.0","0.2848722986247544","1.0","2","6","false","KLF3","31.5","0","2","0","0","0","0","0.9487684729064039","false","0","KLF3","0","0.6176470588235294"
"1","3.386206896551724","0.03270682677741171","0.2953156822810591","0.4","5","5","false","KRTAP8-1","10.4","0","5","0","0","0","0","0.951301900070373","false","0","KRTAP8-1","4052","0.24761904761904763"
"11","2.218390804597701","0.004392552084718782","0.45077720207253885","0.41818181818181815","11","5","false","ZNF570","12.727272727272727","0","11","0","0","0","0","0.9812555260831123","false","0","ZNF570","216","0.18716577540106952"
"18","3.1","0.02375478927203065","0.3225806451612903","0.6666666666666666","3","4","false","TOM1L1","6.0","0","3","0",,"0","0","0.8894736842105262","false","0","TOM1L1","80","0.5454545454545454"
"6","2.2","3.3670033670033666E-4","0.45454545454545453","0.6666666666666666","3","5","false","SYT14P1","16.333333333333332","0","3",,"0","0","0","0.9684210526315788","false","0","SYT14P1","2","0.4298245614035088"
"4","1.3461538461538463","0.12865323565323566","0.7428571428571428","0.22058823529411764","17","2","false","BCL9","6.882352941176471","0","17","0","0","0","0","0.9866863905325444","false","0","BCL9","212","0.2647058823529412"
"3","2.032258064516129","0.0","0.4920634920634921","1.0","2","3","false","TRIM38","32.0","0","2","0","0","0","0","0.982202447163515","false","0","TRIM38","0","0.5517241379310345"
"10","2.066666666666667","7.43879472693032E-4","0.48387096774193544","0.4","5","4","false","AMZ2","18.2","0","5",,"0","0","0","0.9786666666666666","false","0","AMZ2","12","0.35"
"9","3.1686046511627906","0.008999447431583301","0.3155963302752294","0.25","9","6","false","KIAA1217","6.333333333333333","0","9","0","0","0","0","0.9619543043655652","false","0","KIAA1217","1500","0.2074074074074074"
"14","5.96969696969697","0.0","0.16751269035532995","0.0","1","9","false","C1QL1","3.0","0","1","0",,"0","0","0.645021645021645","false","0","C1QL1","0","0.0"
"10","1.8666666666666667","0.007988673742105297","0.5357142857142857","0.4358974358974359","13","4","false","ERICH6","14.384615384615385","0","13","0","0","0","0","0.9826666666666667","false","0","ERICH6","160","0.25686813186813184"
"9","2.8197674418604652","0.01232318785306559","0.3546391752577319","0.07575757575757576","12","5","false","DLST","7.083333333333333","0","12","0","0","0","0","0.9680742554059568","false","0","DLST","1886","0.14130434782608695"
"15","4.0","0.0","0.25","1.0","2","6","false","DDIAS","10.0","0","2",,"0","0","0","0.85","false","0","DDIAS","0","1.0"
"5","2.7435897435897436","0.49338731443994593","0.3644859813084112","0.3","5","5","false","H2BC18","6.4","0","5","0","0","0","0","0.8547008547008547","false","0","H2BC18","1450","0.44285714285714284"
"9","2.8372093023255816","0.0014716728306098542","0.3524590163934426","0.2","5","5","false","RTCB","14.8","0","5","0","0","0","0","0.9677682578539372","false","0","RTCB","264","0.2823529411764706"
"9","2.7732558139534884","1.699986400108799E-5","0.36058700209643607","0.8333333333333334","4","6","false","BPIFC","36.0","0","4",,"0","0","0","0.9688902488780089","false","0","BPIFC","2","0.5294117647058824"
"1","3.2620689655172415","0.013981340311287867","0.30655391120507397","0.39285714285714285","8","5","false","PDPK1","8.75","0","8","0","0","0","0","0.953835327234342","false","0","PDPK1","2404","0.2536764705882353"
"14","3.484848484848485","0.0","0.28695652173913044","0.0","1","6","false","PPFIA4","14.0","0","1","0",,"0","0","0.8225108225108225","false","0","PPFIA4","0","0.0"
"1","3.0620689655172413","0.011835512080165426","0.32657657657657657","0.5333333333333333","6","5","false","PPP2R3C","11.166666666666666","0","6","0","0","0","0","0.9579169598874032","false","0","PPP2R3C","1774","0.3284313725490196"
"1","3.110344827586207","0.01182865409039305","0.32150776053215074","0.32142857142857145","8","5","false","ESCO1","13.75","0","8","0","0","0","0","0.9569317382125264","false","0","ESCO1","2252","0.3323170731707317"
"11","2.8275862068965516","0.03374401650853371","0.3536585365853659","0.3333333333333333","3","5","false","PAM","7.0","0","3","0","0","0","0","0.9718832891246684","false","0","PAM","982","0.39215686274509803"
"11","2.1149425287356323","0.007226772688039786","0.47282608695652173","0.25757575757575757","12","4","false","KAZN","12.916666666666666","0","12","0","0","0","0","0.9828470380194518","false","0","KAZN","322","0.18452380952380953"
"1","2.9931034482758623","0.05022396253152398","0.33410138248847926","0.3333333333333333","3","4","false","NAA11","15.333333333333334","0","3","0","0","0","0","0.9593244194229417","false","0","NAA11","4116","0.39473684210526316"
"9","2.488372093023256","0.006607038157539927","0.40186915887850466","0.6","6","5","false","MAPK11","36.0","0","6",,"0","0","0","0.9738882088943288","false","0","MAPK11","1640","0.38530465949820786"
"11","2.310344827586207","3.5613947886451635E-4","0.4328358208955224","0.5","5","5","false","UBTFL6","28.8","0","5","0","0","0","0","0.979840848806366","false","0","UBTFL6","48","0.43636363636363634"
"16","1.7058823529411764","0.013638485697309227","0.5862068965517242","0.41818181818181815","11","3","false","PLA2G2D","11.272727272727273","0","11","0","0","0","0","0.9786096256684492","false","0","PLA2G2D","64","0.3415977961432507"
