"__mcodeCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"12","1.2105263157894737","0.6793372319688109","0.8260869565217391","0.11428571428571428","17","2","false","PGR","2.8666666666666667","0","16","1","1","1","0","0.9859649122807017","false","1","PGR","282","0.17333333333333334"
"12","2.1052631578947367","0.0","0.47500000000000003","1.0","2","3","false","ERLEC1","9.0","0","2","0","0","0","0","0.9263157894736842","false","0","ERLEC1","0","0.6"
,"0.0","0.0","0.0","0.0","0","0","true","IKBKE-AS1","0.0","0","0",,"0","0","0","Infinity","false","0","IKBKE-AS1","0","0.0"
"11","3.3125","0.0","0.3018867924528302","0.0","1","6","false","KLK9","32.0","0","1",,"0","0","0","0.927734375","false","0","KLK9","0","0.0"
"21","3.75","0.0","0.26666666666666666","0.0","1","6","false","DPH1","4.0","0","1","0","0","0","0","0.45","false","0","DPH1","0","0.0"
"6","3.963636363636364","0.02490686683347234","0.25229357798165136","0.2857142857142857","8","8","false","VTN","3.375","0","8","1","1","1","0","0.8652892561983471","false","0","VTN","610","0.3068181818181818"
"6","3.727272727272727","0.044007109098852214","0.2682926829268293","0.3333333333333333","3","8","false","PFKL","9.666666666666666","0","3","0","0","0","0","0.8760330578512397","false","0","PFKL","1380","0.4444444444444444"
"2","4.2898550724637685","0.22788503066998184","0.2331081081081081","0.06666666666666667","31","7","false","COL5A3","3.3548387096774195","0","31","1","1","1","0","0.9003074220465525","false","0","COL5A3","22914","0.09216589861751152"
"17","1.9230769230769231","0.5256410256410257","0.52","0.1","5","3","false","RARS1","2.4","0","5","0","0","0","0","0.8153846153846154","false","0","RARS1","90","0.3"
"5","2.129032258064516","0.0","0.4696969696969697","1.0","3","3","false","ZNF669","35.0","0","3",,"0","0","0","0.9778621125869703","false","0","ZNF669","0","0.6862745098039216"
"13","1.5","0.0","0.6666666666666666","0.0","1","2","false","SMIM44","2.0","0","1","0","0","0","0","0.75","false","0","SMIM44","0","0.0"
"6","3.290909090909091","0.3022945708725524","0.30386740331491713","0.17857142857142858","8","6","false","PRR5","4.75","0","8","0","0","0","0","0.8958677685950414","false","0","PRR5","5014","0.1875"
"8","4.5625","0.031746031746031744","0.2191780821917808","0.0","3","8","false","NPAS1","1.6666666666666667","0","3","0","0","0","0","0.77734375","false","0","NPAS1","178","0.3333333333333333"
"15","3.608695652173913","0.05754475703324808","0.27710843373493976","0.0","3","6","false","FITM2","4.333333333333333","0","3","0","0","0","0","0.886578449905482","false","0","FITM2","294","0.3333333333333333"
"6","4.7","0.01814051392033043","0.2127659574468085","0.0","4","10","false","PTGS1","3.0","0","3","1","1","1","0","0.8318181818181819","false","1","PTGS1","278","0.5"
,"0.0","0.0","0.0","0.0","0","0","true","CLCA2","0.0","0","0",,"0","0","0","Infinity","false","0","CLCA2","0","0.0"
"3","1.8148148148148149","0.0013036346369679705","0.5510204081632653","0.8571428571428571","7","3","false","ARHGAP28","15.285714285714286","0","7",,"0","0","0","0.9674074074074074","false","0","ARHGAP28","6","0.6114285714285714"
"11","3.3125","0.0","0.3018867924528302","0.0","1","6","false","SNAP47","32.0","0","1","0","0","0","0","0.927734375","false","0","SNAP47","0","0.0"
