uidA,uidB,Predicted Classes,Probability Score,Regression Value,mean_prob_aff,stringdb_check,score_norm,uidA_irefindex,uidB_irefindex,method,Host_organism_taxid,numParticipants,irefindex_check,GeneA,GeneB,OP_A,OP_B,OP_check
P10451,P85299,1,0.536585366,0.40163337,0.469109368,0,,,,,,,0,SPP1,PRR5,1,0,1
P02452,Q99742,1,0.551219512,0.401632974,0.476426243,0,,,,,,,0,COL1A1,NPAS1,1,0,1
P06401,Q8N6M3,1,0.52195122,0.401681284,0.461816252,0,,,,,,,0,PGR,FITM2,1,0,1
P23219,Q9UQC9,1,0.551219512,0.401633009,0.476426261,0,,,,,,,0,PTGS1,CLCA2,1,0,1
P18075,Q9P2N2,1,0.551219512,0.401633017,0.476426264,0,,,,,,,0,BMP7,ARHGAP28,1,0,1
P02461,Q5SQN1,1,0.52195122,0.401681113,0.461816166,0,,,,,,,0,COL3A1,SNAP47,1,0,1
O76036,P25940,1,0.551219512,0.401632871,0.476426192,0,,,,,,,0,NCR1,COL5A3,0,1,1
P05997,Q3YEC7,1,0.551219512,0.401632885,0.476426198,0,,,,,,,0,COL5A2,RABL6,1,0,1
P02461,Q9UKP6,1,0.551219512,0.401632878,0.476426195,0,,,,,,,0,COL3A1,UTS2R,1,0,1
P49841,Q8N1W2,1,0.551219512,0.401633015,0.476426263,0,,,,,,,0,GSK3B,ZNF710,1,0,1
P10415,P40121,1,0.551219512,0.401632906,0.476426209,0,,,,,,,0,BCL2,CAPG,1,0,1
Q04206,Q06889,1,0.551219512,0.401632855,0.476426183,0,,,,,,,0,RELA,EGR3,1,0,1
O14788,Q58FG1,1,0.551219512,0.401633153,0.476426333,0,,,,,,,0,TNFSF11,HSP90AA4P,1,0,1
P05997,Q8N8B7,1,0.551219512,0.401632897,0.476426205,0,,,,,,,0,COL5A2,TCEANC,1,0,1
A0A075B6S6,P04198,1,0.551219512,0.401632895,0.476426204,0,,,,,,,0,IGKV2D-30,MYCN,0,1,1
A8MYV0,O14788,1,0.551219512,0.40163312,0.476426316,0,,,,,,,0,DCDC2C,TNFSF11,0,1,1
P08123,P0C7T7,1,0.526829268,0.401681181,0.464255225,0,,,,,,,0,COL1A2,FRMD6-AS1,1,0,1
P03372,Q9H2K8,1,0.551219512,0.401633164,0.476426338,0,,,,,,,0,ESR1,TAOK3,1,0,1
P10415,Q9BTN0,1,0.551219512,0.401633207,0.476426359,0,,,,,,,0,BCL2,LRFN3,1,0,1
P04629,Q8IU57,1,0.551219512,0.401633187,0.47642635,0,,,,,,,0,NTRK1,IFNLR1,1,0,1
O43353,P02461,1,0.551219512,0.401633067,0.47642629,0,,,,,,,0,RIPK2,COL3A1,0,1,1
P20908,Q8IWF2,1,0.526829268,0.4016812,0.464255234,0,,,,,,,0,COL5A1,FOXRED2,1,0,1
P08123,Q8NGU1,1,0.551219512,0.401632973,0.476426243,0,,,,,,,0,COL1A2,OR9A1P,1,0,1
P0DJD7,P31749,1,0.536585366,0.401633182,0.469109274,0,,,,,,,0,PGA4,AKT1,0,1,1
P12931,P12931,1,0.892682927,0.407752955,0.650217941,0,,,,,,,0,SRC,SRC,1,1,1
P02452,Q8N1D5,1,0.551219512,0.401632956,0.476426234,0,,,,,,,0,COL1A1,CFAP107,1,0,1
O15522,P04198,1,0.551219512,0.401632813,0.476426162,0,,,,,,,0,NKX2-8,MYCN,0,1,1
H3BNL1,P04637,1,0.551219512,0.401633008,0.47642626,0,,,,,,,0,C3orf84,TP53,0,1,1
P02452,Q5JR12,1,0.551219512,0.401633004,0.476426258,0,,,,,,,0,COL1A1,PPM1J,1,0,1
P05997,P50391,1,0.551219512,0.401632944,0.476426228,0,,,,,,,0,COL5A2,NPY4R,1,0,1
P05997,Q6IPT4,1,0.551219512,0.401632982,0.476426247,0,,,,,,,0,COL5A2,CYB5RL,1,0,1
P04637,Q2M2D7,1,0.551219512,0.401633121,0.476426317,0,,,,,,,0,TP53,TBC1D28,1,0,1
Q6UUV7,Q9UNN8,1,0.551219512,0.401633127,0.47642632,0,,,,,,,0,CRTC3,PROCR,0,1,1
P08123,Q16222,1,0.551219512,0.401632976,0.476426244,0,,,,,,,0,COL1A2,UAP1,1,0,1
P10415,Q9BPX3,1,0.52195122,0.401681118,0.461816169,0,,,,,,,0,BCL2,NCAPG,1,0,1
P31749,Q6P996,1,0.551219512,0.401632967,0.47642624,0,,,,,,,0,AKT1,PDXDC1,1,0,1
P06401,P06401,1,0.726829268,0.409408115,0.568118692,0,,,,,,,0,PGR,PGR,1,1,1
P05412,P59282,1,0.526829268,0.401633364,0.464231316,0,,,,,,,0,JUN,TPPP2,1,0,1
P16284,P25940,1,0.526829268,0.401681227,0.464255247,0,,,,,,,0,PECAM1,COL5A3,0,1,1
O14788,O15231,1,0.551219512,0.401633169,0.476426341,0,,,,,,,0,TNFSF11,ZNF185,1,0,1
P25940,Q06546,1,0.526829268,0.401633233,0.464231251,0,,,,,,,0,COL5A3,GABPA,1,0,1
P00167,P04198,1,0.526829268,0.401633199,0.464231234,0,,,,,,,0,CYB5A,MYCN,0,1,1
P01106,Q9H341,1,0.551219512,0.401633338,0.476426425,0,,,,,,,0,MYC,OR51M1,1,0,1
P04637,Q70IA6,1,0.551219512,0.401633143,0.476426328,0,,,,,,,0,TP53,MOB2,1,0,1
P43235,Q8WXE0,1,0.551219512,0.401632897,0.476426205,0,,,,,,,0,CTSK,CASKIN2,1,0,1
O14788,Q9UI47,1,0.551219512,0.401632847,0.47642618,0,,,,,,,0,TNFSF11,CTNNA3,1,0,1
P12931,Q9P2E5,1,0.551219512,0.401633137,0.476426325,0,,,,,,,0,SRC,CHPF2,1,0,1
A8MV65,P02452,1,0.551219512,0.401632956,0.476426234,0,,,,,,,0,VGLL3,COL1A1,0,1,1
