uidA,uidB,Predicted Classes,Probability Score,Regression Value,mean_prob_aff,stringdb_check,score_norm,uidA_irefindex,uidB_irefindex,method,Host_organism_taxid,numParticipants,irefindex_check,GeneA,GeneB,OP_A,OP_B,OP_check
P06401,Q9Y6P5,1,0.551219512,0.401632995,0.476426254,0,,,,,,,0,PGR,SESN1,1,0,1
P12524,Q96JA4,1,0.551219512,0.401633031,0.476426272,0,,,,,,,0,MYCL,MS4A14,1,0,1
P02452,Q9Y2Z4,1,0.551219512,0.401632941,0.476426227,0,,,,,,,0,COL1A1,YARS2,1,0,1
P12643,P51580,1,0.526829268,0.401633055,0.464231162,0,,,,,,,0,BMP2,TPMT,1,0,1
P01258,Q5VSR9,1,0.526829268,0.401633472,0.46423137,0,,,,,,,0,CALCA,SPANXN1,1,0,1
P02461,Q9H093,1,0.551219512,0.401632995,0.476426254,0,,,,,,,0,COL3A1,NUAK2,1,0,1
Q9BQB4,Q9H6Z4,1,0.551219512,0.401632942,0.476426227,0,,,,,,,0,SOST,RANBP3,1,0,1
P43235,Q9UI42,1,0.551219512,0.401632842,0.476426177,0,,,,,,,0,CTSK,CPA4,1,0,1
P08123,Q6ZVX7,1,0.526829268,0.401681182,0.464255225,0,,,,,,,0,COL1A2,NCCRP1,1,0,1
I3L273,P10451,1,0.551219512,0.401632984,0.476426248,0,,,,,,,0,GFY,SPP1,0,1,1
P04004,Q5VXJ0,1,0.536585366,0.401633331,0.469109348,0,,,,,,,0,VTN,LIPK,1,0,1
P06401,Q86VH2,1,0.551219512,0.401632821,0.476426167,0,,,,,,,0,PGR,KIF27,1,0,1
P02452,Q6UW02,1,0.551219512,0.401633151,0.476426331,0,,,,,,,0,COL1A1,CYP20A1,1,0,1
Q9H208,Q9Y4K3,1,0.551219512,0.401633135,0.476426324,0,,,,,,,0,OR10A2,TRAF6,0,1,1
P02461,Q11203,1,0.551219512,0.401632877,0.476426194,0,,,,,,,0,COL3A1,ST3GAL3,1,0,1
Q14576,Q9Y4K3,1,0.526829268,0.401633118,0.464231193,0,,,,,,,0,ELAVL3,TRAF6,0,1,1
P01258,Q5U649,1,0.526829268,0.401633167,0.464231218,0,,,,,,,0,CALCA,C12orf60,1,0,1
Q04917,Q9Y4K3,1,0.526829268,0.401633238,0.464231253,0,,,,,,,0,YWHAH,TRAF6,0,1,1
O14788,Q14184,1,0.551219512,0.401632944,0.476426228,0,,,,,,,0,TNFSF11,DOC2B,1,0,1
A6H8Y1,P05997,1,0.52195122,0.401681051,0.461816135,0,,,,,,,0,BDP1,COL5A2,0,1,1
P02452,P78348,1,0.52195122,0.401681381,0.4618163,0,,,,,,,0,COL1A1,ASIC1,1,0,1
P19838,Q969I3,1,0.52195122,0.401681131,0.461816175,0,,,,,,,0,NFKB1,GLYATL1,1,0,1
P04198,Q96HF1,1,0.526829268,0.401633133,0.464231201,0,,,,,,,0,MYCN,SFRP2,1,0,1
Q16539,Q16539,1,0.970731707,0.413531396,0.692131552,0,,,,,,,0,MAPK14,MAPK14,1,1,1
Q9P1V8,Q9Y4K3,1,0.551219512,0.401632997,0.476426255,0,,,,,,,0,SAMD15,TRAF6,0,1,1
O95994,P10451,1,0.526829268,0.401633504,0.464231386,0,,,,,,,0,AGR2,SPP1,0,1,1
P06401,Q96L92,1,0.551219512,0.401632921,0.476426217,0,,,,,,,0,PGR,SNX27,1,0,1
P12931,Q9ULT0,1,0.551219512,0.401632935,0.476426224,0,,,,,,,0,SRC,TTC7A,1,0,1
O43347,Q9Y4K3,1,0.526829268,0.401633157,0.464231212,0,,,,,,,0,MSI1,TRAF6,0,1,1
Q96T51,Q9UNN8,1,0.551219512,0.401632887,0.4764262,0,,,,,,,0,RUFY1,PROCR,0,1,1
P03372,Q9HBJ7,1,0.526829268,0.401633155,0.464231212,0,,,,,,,0,ESR1,USP29,1,0,1
P02461,Q9H2S6,1,0.551219512,0.401632845,0.476426179,0,,,,,,,0,COL3A1,TNMD,1,0,1
P28482,Q01538,1,0.551219512,0.401633014,0.476426263,0,,,,,,,0,MAPK1,MYT1,1,0,1
O00322,P25940,1,0.551219512,0.401632839,0.476426176,0,,,,,,,0,UPK1A,COL5A3,0,1,1
P02452,P49756,1,0.536585366,0.401633166,0.469109266,0,,,,,,,0,COL1A1,RBM25,1,0,1
O75340,P12643,1,0.551219512,0.401632972,0.476426242,0,,,,,,,0,PDCD6,BMP2,0,1,1
P17612,Q8IY51,1,0.551219512,0.401633008,0.47642626,0,,,,,,,0,PRKACA,TIGD4,1,0,1
P25940,Q5SWL8,1,0.551219512,0.40163291,0.476426211,0,,,,,,,0,COL5A3,PRAMEF19,1,0,1
Q16539,Q16891,1,0.551219512,0.401633026,0.476426269,0,,,,,,,0,MAPK14,IMMT,1,0,1
P12524,Q8NCX0,1,0.551219512,0.401633028,0.47642627,0,,,,,,,0,MYCL,CCDC150,1,0,1
P12524,Q5C9Z4,1,0.551219512,0.401633023,0.476426268,0,,,,,,,0,MYCL,NOM1,1,0,1
P18075,P58417,1,0.526829268,0.401633108,0.464231188,0,,,,,,,0,BMP7,NXPH1,1,0,1
P10415,Q13148,1,0.526829268,0.401633202,0.464231235,0,,,,,,,0,BCL2,TARDBP,1,0,1
P05997,Q15293,1,0.551219512,0.401632848,0.47642618,0,,,,,,,0,COL5A2,RCN1,1,0,1
Q8NGK3,Q9Y4K3,1,0.551219512,0.4016332,0.476426356,0,,,,,,,0,OR52K2,TRAF6,0,1,1
P03372,P03372,1,0.536585366,0.409084799,0.472835082,0,,,,,,,0,ESR1,ESR1,1,1,1
A0A0K0K1G6,P10451,1,0.551219512,0.401633158,0.476426335,0,,,,,,,0,TRBV10-3,SPP1,0,1,1
A6NJT0,Q9BQB4,1,0.551219512,0.401632961,0.476426237,0,,,,,,,0,UNCX,SOST,0,1,1
P05997,P10828,1,0.551219512,0.401632895,0.476426203,0,,,,,,,0,COL5A2,THRB,1,0,1
P10515,P25940,1,0.551219512,0.401633131,0.476426322,0,,,,,,,0,DLAT,COL5A3,0,1,1
P05997,Q8NDC0,1,0.551219512,0.401633015,0.476426264,0,,,,,,,0,COL5A2,MAPK1IP1L,1,0,1
O00300,P05997,1,0.551219512,0.401632924,0.476426218,0,,,,,,,0,TNFRSF11B,COL5A2,0,1,1
P04198,Q9BRX8,1,0.551219512,0.4016332,0.476426356,0,,,,,,,0,MYCN,PRXL2A,1,0,1
P10415,Q14397,1,0.526829268,0.401633185,0.464231226,0,,,,,,,0,BCL2,GCKR,1,0,1
Q6YFQ2,Q9BQB4,1,0.526829268,0.401633235,0.464231251,0,,,,,,,0,COX6B2,SOST,0,1,1
P25940,Q9BZQ8,1,0.52195122,0.401681383,0.461816301,0,,,,,,,0,COL5A3,NIBAN1,1,0,1
P02818,Q5TDH0,1,0.551219512,0.401633053,0.476426283,0,,,,,,,0,BGLAP,DDI2,1,0,1
O75153,P23219,1,0.52195122,0.40168115,0.461816185,0,,,,,,,0,CLUH,PTGS1,0,1,1
O95154,P02452,1,0.551219512,0.40163319,0.476426351,0,,,,,,,0,AKR7A3,COL1A1,0,1,1
P19838,Q15648,1,0.551219512,0.40163305,0.476426281,0,,,,,,,0,NFKB1,MED1,1,0,1
O75880,P05997,1,0.551219512,0.401632795,0.476426154,0,,,,,,,0,SCO1,COL5A2,0,1,1
O15211,P34972,1,0.551219512,0.401633014,0.476426263,0,,,,,,,0,RGL2,CNR2,0,1,1
P25940,Q16651,1,0.551219512,0.401632807,0.47642616,0,,,,,,,0,COL5A3,PRSS8,1,0,1
P02452,Q5TEU4,1,0.551219512,0.401633064,0.476426288,0,,,,,,,0,COL1A1,NDUFAF5,1,0,1
P08123,Q00325,1,0.551219512,0.40163308,0.476426296,0,,,,,,,0,COL1A2,SLC25A3,1,0,1
P04198,Q8WZ69,1,0.551219512,0.401633124,0.476426318,0,,,,,,,0,MYCN,C11orf40,1,0,1
P04637,P30613,1,0.526829268,0.401633025,0.464231146,0,,,,,,,0,TP53,PKLR,1,0,1
Q9BQB4,Q9NQ87,1,0.551219512,0.40163302,0.476426266,0,,,,,,,0,SOST,HEYL,1,0,1
P04004,Q15437,1,0.551219512,0.401632973,0.476426242,0,,,,,,,0,VTN,SEC23B,1,0,1
P04637,Q96EL2,1,0.526829268,0.40163332,0.464231294,0,,,,,,,0,TP53,MRPS24,1,0,1
P25940,P50747,1,0.526829268,0.401681239,0.464255254,0,,,,,,,0,COL5A3,HLCS,1,0,1
Q04206,Q8NH81,1,0.551219512,0.401633413,0.476426463,0,,,,,,,0,RELA,OR10G6,1,0,1
P08123,Q9NPH0,1,0.551219512,0.401632902,0.476426207,0,,,,,,,0,COL1A2,ACP6,1,0,1
O14788,Q6A163,1,0.551219512,0.401633054,0.476426283,0,,,,,,,0,TNFSF11,KRT39,1,0,1
P05997,Q5SVS4,1,0.551219512,0.401632951,0.476426232,0,,,,,,,0,COL5A2,SLC25A30,1,0,1
O14788,Q9UN79,1,0.551219512,0.401633096,0.476426304,0,,,,,,,0,TNFSF11,SOX13,1,0,1
Q86XN8,Q9BQB4,1,0.551219512,0.401632862,0.476426187,0,,,,,,,0,MEX3D,SOST,0,1,1
P05412,P49207,1,0.551219512,0.401632951,0.476426232,1,0.043580683,,,,,,0,JUN,RPL34,1,0,1
P0C5J1,P10415,1,0.526829268,0.401633459,0.464231364,0,,,,,,,0,FAM86B2,BCL2,0,1,1
P04637,Q86UN6,1,0.551219512,0.401633108,0.47642631,0,,,,,,,0,TP53,AKAP14,1,0,1
P10451,Q8IV20,1,0.526829268,0.401633425,0.464231347,0,,,,,,,0,SPP1,LACC1,1,0,1
P10451,Q5JQF8,1,0.551219512,0.401632921,0.476426216,0,,,,,,,0,SPP1,PABPC1L2B,1,0,1
P08123,P51684,1,0.551219512,0.401632974,0.476426243,0,,,,,,,0,COL1A2,CCR6,1,0,1
Q16539,Q9NQV8,1,0.551219512,0.401632941,0.476426227,0,,,,,,,0,MAPK14,PRDM8,1,0,1
Q04206,Q7Z5L3,1,0.551219512,0.401632954,0.476426233,0,,,,,,,0,RELA,C1QL2,1,0,1
P02818,Q32NC0,1,0.526829268,0.401633073,0.46423117,0,,,,,,,0,BGLAP,C18orf21,1,0,1
P10451,P62491,1,0.551219512,0.401633014,0.476426263,0,,,,,,,0,SPP1,RAB11A,1,0,1
P31749,Q05823,1,0.551219512,0.401632822,0.476426167,0,,,,,,,0,AKT1,RNASEL,1,0,1
P05997,Q14542,1,0.551219512,0.401633039,0.476426275,0,,,,,,,0,COL5A2,SLC29A2,1,0,1
P10415,Q9P2Y4,1,0.551219512,0.401632811,0.476426161,0,,,,,,,0,BCL2,ZNF219,1,0,1
O14788,P23327,1,0.551219512,0.401632998,0.476426255,0,,,,,,,0,TNFSF11,HRC,1,0,1
P04198,Q7Z6K5,1,0.551219512,0.401633101,0.476426307,0,,,,,,,0,MYCN,ARPIN,1,0,1
O14788,P13010,1,0.551219512,0.401632916,0.476426214,0,,,,,,,0,TNFSF11,XRCC5,1,0,1
P06401,Q86VQ6,1,0.551219512,0.401632977,0.476426245,0,,,,,,,0,PGR,TXNRD3,1,0,1
P02461,Q8N448,1,0.551219512,0.401633186,0.476426349,0,,,,,,,0,COL3A1,LNX2,1,0,1
P08123,Q9NQI0,1,0.551219512,0.401633073,0.476426293,0,,,,,,,0,COL1A2,DDX4,1,0,1
P05997,Q5T2R2,1,0.551219512,0.401633038,0.476426275,0,,,,,,,0,COL5A2,PDSS1,1,0,1
A8MXT2,Q9Y4K3,1,0.551219512,0.401633059,0.476426285,0,,,,,,,0,MAGEB17,TRAF6,0,1,1
O94972,P43235,1,0.551219512,0.401632928,0.47642622,0,,,,,,,0,TRIM37,CTSK,0,1,1
O00232,P08123,1,0.551219512,0.40163299,0.476426251,0,,,,,,,0,PSMD12,COL1A2,0,1,1
P05997,P07204,1,0.551219512,0.401632984,0.476426248,0,,,,,,,0,COL5A2,THBD,1,0,1
P04637,Q92530,1,0.551219512,0.401633043,0.476426278,0,,,,,,,0,TP53,PSMF1,1,0,1
P43235,Q9H2G4,1,0.551219512,0.40163309,0.476426301,0,,,,,,,0,CTSK,TSPYL2,1,0,1
P03979,P12643,1,0.551219512,0.401633157,0.476426334,0,,,,,,,0,TRGV3,BMP2,0,1,1
O60218,P05997,1,0.551219512,0.40163288,0.476426196,0,,,,,,,0,AKR1B10,COL5A2,0,1,1
A6NKL6,P04637,1,0.526829268,0.401633043,0.464231156,0,,,,,,,0,TMEM200C,TP53,0,1,1
P01258,P01258,1,0.834146341,0.408796321,0.621471331,0,,,,,,,0,CALCA,CALCA,1,1,1
A6NM43,P10415,1,0.551219512,0.401632888,0.4764262,0,,,,,,,0,CCT8L1P,BCL2,0,1,1
P01106,Q9P1V8,1,0.526829268,0.401633139,0.464231204,0,,,,,,,0,MYC,SAMD15,1,0,1
A0A0B4J1U3,P04198,1,0.551219512,0.401633099,0.476426305,0,,,,,,,0,IGLV1-36,MYCN,0,1,1
P12524,Q969J2,1,0.526829268,0.401633227,0.464231248,0,,,,,,,0,MYCL,ZKSCAN4,1,0,1
A8MUP6,P02461,1,0.526829268,0.401681139,0.464255204,0,,,,,,,0,GSG1L2,COL3A1,0,1,1
Q04206,Q56P03,1,0.551219512,0.401632977,0.476426245,0,,,,,,,0,RELA,EAPP,1,0,1
P02452,P11166,1,0.551219512,0.401633125,0.476426318,0,,,,,,,0,COL1A1,SLC2A1,1,0,1
P10415,Q8TES7,1,0.551219512,0.401632868,0.47642619,0,,,,,,,0,BCL2,FBF1,1,0,1
P12643,Q86TY3,1,0.536585366,0.401633158,0.469109262,0,,,,,,,0,BMP2,ARMH4,1,0,1
P10415,Q8IZJ4,1,0.526829268,0.401633143,0.464231206,0,,,,,,,0,BCL2,RGL4,1,0,1
P02452,Q99705,1,0.526829268,0.401633262,0.464231265,0,,,,,,,0,COL1A1,MCHR1,1,0,1
P31749,Q9ULE3,1,0.551219512,0.401633053,0.476426282,0,,,,,,,0,AKT1,DENND2A,1,0,1
P06401,Q5TB80,1,0.551219512,0.401632883,0.476426198,0,,,,,,,0,PGR,CEP162,1,0,1
P10415,Q14203,1,0.526829268,0.401681109,0.464255189,0,,,,,,,0,BCL2,DCTN1,1,0,1
P05997,Q5T036,1,0.526829268,0.40168123,0.464255249,0,,,,,,,0,COL5A2,FAM120AOS,1,0,1
P04198,Q86WR6,1,0.526829268,0.401633128,0.464231198,0,,,,,,,0,MYCN,CHCT1,1,0,1
P43235,Q14CM0,1,0.526829268,0.401681173,0.464255221,0,,,,,,,0,CTSK,FRMPD4,1,0,1
P31749,Q15643,1,0.551219512,0.401632783,0.476426148,0,,,,,,,0,AKT1,TRIP11,1,0,1
P02818,Q15233,1,0.551219512,0.401633028,0.47642627,0,,,,,,,0,BGLAP,NONO,1,0,1
P02818,Q02086,1,0.551219512,0.401633049,0.476426281,0,,,,,,,0,BGLAP,SP2,1,0,1
P04004,Q9Y4K4,1,0.551219512,0.401632907,0.47642621,0,,,,,,,0,VTN,MAP4K5,1,0,1
P05997,Q6IB77,1,0.551219512,0.401632867,0.47642619,0,,,,,,,0,COL5A2,GLYAT,1,0,1
P25940,Q9BR76,1,0.551219512,0.401632881,0.476426197,0,,,,,,,0,COL5A3,CORO1B,1,0,1
P01824,P12643,1,0.551219512,0.401633096,0.476426304,0,,,,,,,0,IGHV4-39,BMP2,0,1,1
P23219,Q14692,1,0.551219512,0.401632903,0.476426208,0,,,,,,,0,PTGS1,BMS1,1,0,1
O14490,P12931,1,0.551219512,0.401632881,0.476426197,0,,,,,,,0,DLGAP1,SRC,0,1,1
O75452,P02461,1,0.551219512,0.401632899,0.476426206,0,,,,,,,0,RDH16,COL3A1,0,1,1
P05997,P27701,1,0.551219512,0.40163306,0.476426286,0,,,,,,,0,COL5A2,CD82,1,0,1
P42574,Q99496,1,0.526829268,0.401633362,0.464231315,0,,,,,,,0,CASP3,RNF2,1,0,1
P08123,Q8N205,1,0.52195122,0.401681135,0.461816177,0,,,,,,,0,COL1A2,SYNE4,1,0,1
O76074,P43235,1,0.551219512,0.401632942,0.476426227,0,,,,,,,0,PDE5A,CTSK,0,1,1
Q04206,Q9H344,1,0.551219512,0.401633249,0.47642638,0,,,,,,,0,RELA,OR51I2,1,0,1
O15209,Q9UNN8,1,0.551219512,0.401633068,0.47642629,0,,,,,,,0,ZBTB22,PROCR,0,1,1
A8MZ26,P01106,1,0.551219512,0.401633231,0.476426371,0,,,,,,,0,EFCAB9,MYC,0,1,1
P31749,Q9P2H0,1,0.551219512,0.401633011,0.476426261,0,,,,,,,0,AKT1,CEP126,1,0,1
P02461,P43121,1,0.526829268,0.401633258,0.464231263,0,,,,,,,0,COL3A1,MCAM,1,0,1
P21854,P25940,1,0.551219512,0.401632856,0.476426184,0,,,,,,,0,CD72,COL5A3,0,1,1
P04637,Q9NRV9,1,0.551219512,0.401633087,0.4764263,0,,,,,,,0,TP53,HEBP1,1,0,1
P25940,Q6DN72,1,0.551219512,0.401632815,0.476426164,0,,,,,,,0,COL5A3,FCRL6,1,0,1
P02452,Q7Z7G1,1,0.551219512,0.4016329,0.476426206,0,,,,,,,0,COL1A1,CLNK,1,0,1
P34972,Q58F21,1,0.52195122,0.401681282,0.461816251,0,,,,,,,0,CNR2,BRDT,1,0,1
P01258,Q9H1K6,1,0.551219512,0.401632933,0.476426223,0,,,,,,,0,CALCA,TLNRD1,1,0,1
Q5VSY0,Q9BQB4,1,0.551219512,0.401633007,0.47642626,0,,,,,,,0,GKAP1,SOST,0,1,1
O95772,P12643,1,0.536585366,0.401633287,0.469109326,0,,,,,,,0,STARD3NL,BMP2,0,1,1
O14788,P52736,1,0.551219512,0.401632928,0.47642622,0,,,,,,,0,TNFSF11,ZNF133,1,0,1
P49841,Q9UNA4,1,0.551219512,0.401632928,0.47642622,0,,,,,,,0,GSK3B,POLI,1,0,1
O75159,P02461,1,0.551219512,0.401633,0.476426256,0,,,,,,,0,SOCS5,COL3A1,0,1,1
P02818,P0CAP2,1,0.526829268,0.401633239,0.464231254,0,,,,,,,0,BGLAP,POLR2M,1,0,1
P02461,Q5T6V5,1,0.551219512,0.401632971,0.476426241,0,,,,,,,0,COL3A1,C9orf64,1,0,1
Q04206,Q96RD1,1,0.526829268,0.401633313,0.464231291,0,,,,,,,0,RELA,OR6C1,1,0,1
P02452,Q8N465,1,0.551219512,0.401632939,0.476426226,0,,,,,,,0,COL1A1,D2HGDH,1,0,1
P20908,P47870,1,0.526829268,0.401681288,0.464255278,0,,,,,,,0,COL5A1,GABRB2,1,0,1
O75185,P17612,1,0.551219512,0.401632827,0.476426169,0,,,,,,,0,ATP2C2,PRKACA,0,1,1
P05997,Q8TED0,1,0.52195122,0.401681192,0.461816206,0,,,,,,,0,COL5A2,UTP15,1,0,1
P25940,Q674X7,1,0.551219512,0.401632974,0.476426243,0,,,,,,,0,COL5A3,KAZN,1,0,1
P06401,Q86YG4,1,0.551219512,0.401632911,0.476426212,0,,,,,,,0,PGR,NT5DC4,1,0,1
P05997,P36406,1,0.551219512,0.401632894,0.476426203,0,,,,,,,0,COL5A2,TRIM23,1,0,1
P05412,P62312,1,0.551219512,0.401632985,0.476426248,0,,,,,,,0,JUN,LSM6,1,0,1
P31749,Q9UEG4,1,0.551219512,0.401632948,0.47642623,0,,,,,,,0,AKT1,ZNF629,1,0,1
P20908,P53634,1,0.52195122,0.401681139,0.461816179,0,,,,,,,0,COL5A1,CTSC,1,0,1
P31749,Q8WV41,1,0.526829268,0.401633135,0.464231202,0,,,,,,,0,AKT1,SNX33,1,0,1
P06401,P54868,1,0.551219512,0.401632992,0.476426252,0,,,,,,,0,PGR,HMGCS2,1,0,1
P12755,P17612,1,0.551219512,0.401632936,0.476426224,1,0.014134276,,,,,,0,SKI,PRKACA,0,1,1
P04637,Q92541,1,0.551219512,0.401632779,0.476426145,0,,,,,,,0,TP53,RTF1,1,0,1
P10275,P10275,1,0.868292683,0.41160113,0.639946906,0,,,,,,,0,AR,AR,1,1,1
P23219,Q8NI08,1,0.551219512,0.401633122,0.476426317,0,,,,,,,0,PTGS1,NCOA7,1,0,1
P18075,P18075,1,0.814634146,0.400357211,0.607495679,0,,,,,,,0,BMP7,BMP7,1,1,1
P19838,Q9UJA3,1,0.551219512,0.401632997,0.476426255,0,,,,,,,0,NFKB1,MCM8,1,0,1
P02818,Q9NSD4,1,0.551219512,0.401633012,0.476426262,0,,,,,,,0,BGLAP,ZNF275,1,0,1
P08123,Q16719,1,0.551219512,0.401633201,0.476426357,0,,,,,,,0,COL1A2,KYNU,1,0,1
Q8IYE1,Q9BQB4,1,0.551219512,0.401632998,0.476426255,0,,,,,,,0,CCDC13,SOST,0,1,1
P43235,Q96SN8,1,0.52195122,0.401681185,0.461816202,0,,,,,,,0,CTSK,CDK5RAP2,1,0,1
Q04206,Q9C0I3,1,0.551219512,0.401633003,0.476426257,0,,,,,,,0,RELA,CCSER1,1,0,1
A7MCY6,P18075,1,0.526829268,0.401633281,0.464231275,0,,,,,,,0,TBKBP1,BMP7,0,1,1
P04198,Q8N945,1,0.526829268,0.401633212,0.46423124,0,,,,,,,0,MYCN,PRELID2,1,0,1
P43235,Q8TBE0,1,0.551219512,0.401633019,0.476426266,0,,,,,,,0,CTSK,BAHD1,1,0,1
Q86U38,Q9UNN8,1,0.551219512,0.401632881,0.476426197,0,,,,,,,0,NOP9,PROCR,0,1,1
P02452,P18887,1,0.551219512,0.40163282,0.476426166,0,,,,,,,0,COL1A1,XRCC1,1,0,1
P05997,Q9NU63,1,0.551219512,0.401632792,0.476426152,0,,,,,,,0,COL5A2,ZFP57,1,0,1
O75665,P12524,1,0.52195122,0.401681295,0.461816257,0,,,,,,,0,OFD1,MYCL,0,1,1
Q9NRM2,P37275,1,0.52195122,0.401603163,0.461777191,0,,,,,,,0,ZNF277,ZEB1,0,0,0
Q9NRM2,Q9H3U1,1,0.526829268,0.401554934,0.464192101,0,,,,,,,0,ZNF277,UNC45A,0,0,0
Q15459,Q15642,1,0.76097561,0.401227769,0.581101689,0,,,,,,,0,SF3A1,TRIP10,0,0,0
Q9NRM2,Q8NFC6,1,0.526829268,0.401602872,0.46421607,0,,,,,,,0,ZNF277,BOD1L1,0,0,0
Q9NRM2,Q8N2N9,1,0.526829268,0.401602974,0.464216121,0,,,,,,,0,ZNF277,ANKRD36B,0,0,0
Q15459,Q6P4F7,1,0.76097561,0.401227744,0.581101677,0,,,,,,,0,SF3A1,ARHGAP11A,0,0,0
Q15459,Q9UMS4,1,0.76097561,0.401227027,0.581101319,0,,,,,,,0,SF3A1,PRPF19,0,0,0
Q15459,Q15022,1,0.741463415,0.401050193,0.571256804,0,,,,,,,0,SF3A1,SUZ12,0,0,0
Q15459,Q13163,1,0.526829268,0.401555117,0.464192192,0,,,,,,,0,SF3A1,MAP2K5,0,0,0
Q9UK59,O43463,1,0.52195122,0.401554904,0.461753062,0,,,,,,,0,DBR1,SUV39H1,0,0,0
Q9UK59,Q9UKF6,1,0.536585366,0.401555885,0.469070625,0,,,,,,,0,DBR1,CPSF3,0,0,0
Q9UK59,Q86VH2,1,0.551219512,0.401554841,0.476387177,0,,,,,,,0,DBR1,KIF27,0,0,0
A6NM76,A6NKW6,1,0.52195122,0.401555582,0.461753401,0,,,,,,,0,OR6C76,SHISAL2B,0,0,0
A6NM76,Q9C0I3,1,0.551219512,0.401554737,0.476387125,0,,,,,,,0,OR6C76,CCSER1,0,0,0
A6NM76,P52298,1,0.52195122,0.401555571,0.461753395,0,,,,,,,0,OR6C76,NCBP2,0,0,0
A6NM76,Q9BSU3,1,0.536585366,0.401556357,0.469070862,0,,,,,,,0,OR6C76,NAA11,0,0,0
Q15459,P32754,1,0.551219512,0.401554691,0.476387102,0,,,,,,,0,SF3A1,HPD,0,0,0
A6NM76,O43567,1,0.551219512,0.401555993,0.476387753,0,,,,,,,0,OR6C76,RNF13,0,0,0
A6NM76,Q96BR5,1,0.52195122,0.40155655,0.461753885,0,,,,,,,0,OR6C76,COA7,0,0,0
A6NM76,Q5JRM2,1,0.536585366,0.401557987,0.469071677,0,,,,,,,0,OR6C76,CXorf66,0,0,0
Q15459,Q9P2F5,1,0.536585366,0.401554772,0.469070069,0,,,,,,,0,SF3A1,STOX2,0,0,0
Q15459,Q99457,1,0.551219512,0.401554469,0.47638699,0,,,,,,,0,SF3A1,NAP1L3,0,0,0
P54136,Q96NI8,1,0.551219512,0.401555153,0.476387332,0,,,,,,,0,RARS1,ZNF570,0,0,0
P54136,Q9P0L2,1,0.551219512,0.401555167,0.476387339,0,,,,,,,0,RARS1,MARK1,0,0,0
P54136,P16284,1,0.52195122,0.401555757,0.461753488,0,,,,,,,0,RARS1,PECAM1,0,0,0
Q15459,Q16222,1,0.551219512,0.401554821,0.476387167,0,,,,,,,0,SF3A1,UAP1,0,0,0
P54136,Q9Y236,1,0.551219512,0.401554548,0.47638703,0,,,,,,,0,RARS1,OSGIN2,0,0,0
P54136,O15466,1,0.551219512,0.401554627,0.47638707,0,,,,,,,0,RARS1,ST8SIA5,0,0,0
P54136,Q8TB24,1,0.785365854,0.401554757,0.593460305,0,,,,,,,0,RARS1,RIN3,0,0,0
P54136,Q58F21,1,0.551219512,0.401554788,0.47638715,0,,,,,,,0,RARS1,BRDT,0,0,0
Q15459,Q13115,1,0.726829268,0.401306275,0.564067772,0,,,,,,,0,SF3A1,DUSP4,0,0,0
Q15459,Q96MK3,1,0.551219512,0.401555206,0.476387359,0,,,,,,,0,SF3A1,FAM20A,0,0,0
P54136,Q9BR76,1,0.785365854,0.401415521,0.593390687,0,,,,,,,0,RARS1,CORO1B,0,0,0
P54136,Q99496,1,0.726829268,0.401306192,0.56406773,0,,,,,,,0,RARS1,RNF2,0,0,0
P54136,P50747,1,0.52195122,0.401555147,0.461753183,0,,,,,,,0,RARS1,HLCS,0,0,0
P54136,P52737,1,0.526829268,0.401555869,0.464192569,0,,,,,,,0,RARS1,ZNF136,0,0,0
P54136,P40879,1,0.536585366,0.401554899,0.469070132,0,,,,,,,0,RARS1,SLC26A3,0,0,0
P54136,P14923,1,0.52195122,0.401555242,0.461753231,0,,,,,,,0,RARS1,JUP,0,0,0
P54136,Q8N6G5,1,0.526829268,0.401554644,0.464191956,0,,,,,,,0,RARS1,CSGALNACT2,0,0,0
Q15459,O00232,1,0.551219512,0.401554982,0.476387247,0,,,,,,,0,SF3A1,PSMD12,0,0,0
P54136,P10515,1,0.775609756,0.401407748,0.588508752,0,,,,,,,0,RARS1,DLAT,0,0,0
P54136,Q6XPS3,1,0.526829268,0.401554687,0.464191977,0,,,,,,,0,RARS1,TPTE2,0,0,0
P54136,Q9BZQ8,1,0.551219512,0.401554674,0.476387093,0,,,,,,,0,RARS1,NIBAN1,0,0,0
P54136,O95994,1,0.726829268,0.401306216,0.564067742,0,,,,,,,0,RARS1,AGR2,0,0,0
Q9BSW7,Q15642,1,0.526829268,0.401555058,0.464192163,0,,,,,,,0,SYT17,TRIP10,0,0,0
Q15459,Q9NY27,1,0.726829268,0.401306072,0.56406767,0,,,,,,,0,SF3A1,PPP4R2,0,0,0
Q9BSW7,P48146,1,0.526829268,0.401555361,0.464192314,0,,,,,,,0,SYT17,NPBWR2,0,0,0
Q15459,Q99496,1,0.726829268,0.401306226,0.564067747,0,,,,,,,0,SF3A1,RNF2,0,0,0
Q15459,Q9NQI0,1,0.52195122,0.401554808,0.461753014,0,,,,,,,0,SF3A1,DDX4,0,0,0
Q9BSW7,Q9HB14,1,0.52195122,0.401554745,0.461752982,0,,,,,,,0,SYT17,KCNK13,0,0,0
Q9BSW7,Q8WVN8,1,0.52195122,0.401555041,0.46175313,0,,,,,,,0,SYT17,UBE2Q2,0,0,0
