Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
NUMB-TP53-MDM2 complex,NUMB-TP53-MDM2 complex,complex_name,1,3.33,0.11281066921749315,TP53,30,768,8.53,0.031,0.061,0.13396
Daxx-Axin-p53 complex,Daxx-Axin-p53 complex,complex_name,1,3.33,0.11281066921749315,TP53,30,768,8.53,0.031,0.061,0.13396
Axin-p53-HIPK2 complex,Axin-p53-HIPK2 complex,complex_name,1,3.33,0.11281066921749315,TP53,30,768,8.53,0.031,0.061,0.13396
CDKN1A-TP53-CDK1-PCNA complex,CDKN1A-TP53-CDK1-PCNA complex,complex_name,1,3.33,0.11281066921749315,TP53,30,768,8.53,0.031,0.061,0.13396
SIRT1-TP53 complex,SIRT1-TP53 complex,complex_name,1,3.33,0.07664806062581488,TP53,30,768,12.8,0.032,0.062,0.13396
p53 homotetramer,p53 homotetramer,complex_name,1,3.33,0.0390625,TP53,30,768,25.6,0.033,0.065,0.13396
"FOXO3-TP53 complex, oxidative stress stimulated","FOXO3-TP53 complex, oxidative stress stimulated",complex_name,1,3.33,0.07664806062581488,TP53,30,768,12.8,0.032,0.062,0.13396
ESR1-MDM2-TP53 complex,ESR1-MDM2-TP53 complex,complex_name,1,3.33,0.11281066921749315,TP53,30,768,8.53,0.031,0.061,0.13396
DAXX-Axin-p53-HIPK2 complex,DAXX-Axin-p53-HIPK2 complex,complex_name,1,3.33,0.14760240767955227,TP53,30,768,6.4,0.03,0.059,0.16997
SOCS2 ubiquitin ligase complex,SOCS2 ubiquitin ligase complex,complex_name,1,3.33,0.18107351732564306,SOCS2,30,768,5.12,0.029,0.057,0.19659
MSH2/6-BLM-p53-RAD51 complex,MSH2/6-BLM-p53-RAD51 complex,complex_name,1,3.33,0.18107351732564306,TP53,30,768,5.12,0.029,0.057,0.19659
3M complex,3M complex,complex_name,1,3.33,0.24424598673246892,TP53,30,768,3.66,0.028,0.054,0.25782
CNS-P53 complex,CNS-P53 complex,complex_name,1,3.33,0.30269552856360643,TP53,30,768,2.84,0.026,0.051,0.31088
"SAGA complex, GCN5-linked","SAGA complex, GCN5-linked",complex_name,1,3.33,0.5352587231364136,ATXN7L1,30,768,1.35,0.021,0.041,0.53526
