Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
"Ubiquitin ligase complex (BCL10, CARD11, MALT1, TRAF6)","Ubiquitin ligase complex (BCL10, CARD11, MALT1, TRAF6)",complex_name,1,2.38,0.2018129047866777,TRAF6,42,768,4.57,0.022,0.043,0.26711
TRAF6-MALT1 complex,TRAF6-MALT1 complex,complex_name,1,2.38,0.10645167861799218,TRAF6,42,768,9.14,0.023,0.045,0.26711
MYC-MAX-KAT2A-TRRAP complex,MYC-MAX-KAT2A-TRRAP complex,complex_name,1,2.38,0.2018129047866777,MYC,42,768,4.57,0.022,0.043,0.26711
DNMT3A-MYC-ZBTB17 complex,DNMT3A-MYC-ZBTB17 complex,complex_name,1,2.38,0.15544518971204482,MYC,42,768,6.1,0.023,0.044,0.26711
TRAF6 homo-oligomer complex,TRAF6 homo-oligomer complex,complex_name,1,2.38,0.0546875,TRAF6,42,768,18.29,0.024,0.047,0.26711
SRC-TNFRSF11A-TRAF6 complex,SRC-TNFRSF11A-TRAF6 complex,complex_name,1,2.38,0.15544518971204482,TRAF6,42,768,6.1,0.023,0.044,0.26711
hPRC1L complex,hPRC1L complex,complex_name,1,2.38,0.2018129047866777,PHC2,42,768,4.57,0.022,0.043,0.26711
MSH2-MLH1-PMS2-PCNA DNA-repair initiation complex,MSH2-MLH1-PMS2-PCNA DNA-repair initiation complex,complex_name,1,2.38,0.2018129047866777,PMS2,42,768,4.57,0.022,0.043,0.26711
MSH2-MLH1-PMS2 DNA-repair initiation complex,MSH2-MLH1-PMS2 DNA-repair initiation complex,complex_name,1,2.38,0.15544518971204482,PMS2,42,768,6.1,0.023,0.044,0.26711
TRAF6-TAK1 complex,TRAF6-TAK1 complex,complex_name,1,2.38,0.10645167861799218,TRAF6,42,768,9.14,0.023,0.045,0.26711
MSH2-MSH6-PMS2-MLH1 complex,MSH2-MSH6-PMS2-MLH1 complex,complex_name,1,2.38,0.2018129047866777,PMS2,42,768,4.57,0.022,0.043,0.26711
MutL-alpha complex,MutL-alpha complex,complex_name,1,2.38,0.10645167861799218,PMS2,42,768,9.14,0.023,0.045,0.26711
PCNA-MutS-alpha-MutL-alpha-DNA complex,PCNA-MutS-alpha-MutL-alpha-DNA complex,complex_name,1,2.38,0.24569230007327403,PMS2,42,768,3.66,0.022,0.043,0.29095
"Ecsit complex (ECSIT, GAPDH, MT-CO2, NDUFAF1, TRAF6)","Ecsit complex (ECSIT, GAPDH, MT-CO2, NDUFAF1, TRAF6)",complex_name,1,2.38,0.24569230007327403,TRAF6,42,768,3.66,0.022,0.043,0.29095
IRAK1-IRAK4-MYD88-PELI1-TRAF6 complex,IRAK1-IRAK4-MYD88-PELI1-TRAF6 complex,complex_name,1,2.38,0.24569230007327403,TRAF6,42,768,3.66,0.022,0.043,0.29095
c-MYC-ATPase-helicase complex,c-MYC-ATPase-helicase complex,complex_name,1,2.38,0.24569230007327403,MYC,42,768,3.66,0.022,0.043,0.29095
"Ecsit complex (ECSIT, MT-CO2, MT-ND1, NDUFA1, NDUFAF1, TRAF6)","Ecsit complex (ECSIT, MT-CO2, MT-ND1, NDUFA1, NDUFAF1, TRAF6)",complex_name,1,2.38,0.28721382483988267,TRAF6,42,768,3.05,0.021,0.042,0.3314
PRC1.2c complex,PRC1.2c complex,complex_name,1,2.38,0.46356997904246416,PHC2,42,768,1.66,0.019,0.038,0.5088
PRC1.4c complex,PRC1.4c complex,complex_name,1,2.38,0.46356997904246416,PHC2,42,768,1.66,0.019,0.038,0.5088
"Polycomb repressive complex 1 (PRC1, hPRC-H)","Polycomb repressive complex 1 (PRC1, hPRC-H)",complex_name,1,2.38,0.4933322787521293,PHC2,42,768,1.52,0.019,0.037,0.52857
"Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)","Polycomb repressive complex 1 (PRC1, hPRC-H, YY1)",complex_name,1,2.38,0.5214804854881222,PHC2,42,768,1.41,0.019,0.036,0.54574
PA28gamma-20S proteasome,PA28gamma-20S proteasome,complex_name,1,2.38,0.5732722562948308,PSMA4,42,768,1.22,0.018,0.035,0.5863
PA700-20S-PA28 complex,PA700-20S-PA28 complex,complex_name,1,2.38,0.8742735125785611,PSMA4,42,768,0.51,0.013,0.026,0.87427
