uid,gene,category
P50749,RASSF2,Other_Cellular_Proteins
P51580,TPMT,Other_Cellular_Proteins
P51608,MECP2,Other_Cellular_Proteins
P51797,CLCN6,Other_Cellular_Proteins
P52272,HNRNPM,Other_Cellular_Proteins
P52298,NCBP2,Other_Cellular_Proteins
P52655,GTF2A1,Other_Cellular_Proteins
P52736,ZNF133,Other_Cellular_Proteins
P52737,ZNF136,Other_Cellular_Proteins
P53420,COL4A4,Collagens
P53602,MVD,Other_Cellular_Proteins
P53634,CTSC,ECM_Enzymes
P54136,RARS1,Other_Cellular_Proteins
P54278,PMS2,Other_Cellular_Proteins
P54868,HMGCS2,Other_Cellular_Proteins
P54886,ALDH18A1,Other_Cellular_Proteins
P55042,RRAD,Other_Cellular_Proteins
P55916,UCP3,Other_Cellular_Proteins
P56749,CLDN12,Other_Cellular_Proteins
P57054,PIGP,Membrane_Proteins
P57682,KLF3,Other_Cellular_Proteins
P57729,RAB38,Other_Cellular_Proteins
P57789,KCNK10,Other_Cellular_Proteins
P58182,OR12D2,Other_Cellular_Proteins
P58417,NXPH1,Secreted_Factors
P59282,TPPP2,Other_Cellular_Proteins
P60411,KRTAP10-9,Other_Cellular_Proteins
P60763,RAC3,Other_Cellular_Proteins
P62253,UBE2G1,Cellular Enzymes
P62312,LSM6,Other_Cellular_Proteins
P62491,RAB11A,Other_Cellular_Proteins
P62714,PPP2CB,Cellular Enzymes
P63252,KCNJ2,Other_Cellular_Proteins
P63279,UBE2I,Cellular Enzymes
P67775,PPP2CA,Cellular Enzymes
P78348,ASIC1,Other_Cellular_Proteins
P79483,HLA-DRB3,Other_Cellular_Proteins
P82094,TMF1,Other_Cellular_Proteins
P82932,MRPS6,Other_Cellular_Proteins
P84077,ARF1,Other_Cellular_Proteins
P84085,ARF5,Membrane_Proteins
P85299,PRR5,Other_Cellular_Proteins
P98077,SHC2,Other_Cellular_Proteins
Q00325,SLC25A3,Other_Cellular_Proteins
Q00887,PSG11,Secreted_Factors
Q01538,MYT1,Other_Cellular_Proteins
Q02040,AKAP17A,Cellular Enzymes
Q02086,SP2,Other_Cellular_Proteins
Q02252,ALDH6A1,Other_Cellular_Proteins
Q02297,NRG1,Membrane_Proteins
Q02978,SLC25A11,Other_Cellular_Proteins
Q04206,RELA,BDP
Q04917,YWHAH,Other_Cellular_Proteins
Q05823,RNASEL,Other_Cellular_Proteins
Q06546,GABPA,Other_Cellular_Proteins
Q06889,EGR3,Other_Cellular_Proteins
Q07343,PDE4B,Other_Cellular_Proteins
Q08378,GOLGA3,Other_Cellular_Proteins
Q08999,RBL2,Other_Cellular_Proteins
Q0VAM2,RASGEF1B,Other_Cellular_Proteins
Q0VAQ4,SMAGP,Other_Cellular_Proteins
Q0VG06,FAAP100,Other_Cellular_Proteins
Q0ZLH3,PJVK,Other_Cellular_Proteins
Q10567,AP1B1,Other_Cellular_Proteins
Q10713,INPP5E,Other_Cellular_Proteins
Q11203,ST3GAL3,Secreted_Factors
Q12800,TFCP2,Other_Cellular_Proteins
Q12926,ELAVL2,Other_Cellular_Proteins
Q12948,FOXC1,Other_Cellular_Proteins
Q12951,FOXI1,Other_Cellular_Proteins
Q12972,PPP1R8,Cellular Enzymes
Q13084,MRPL28,Other_Cellular_Proteins
Q13087,PDIA2,Other_Cellular_Proteins
Q13115,DUSP4,Cellular Enzymes
Q13127,REST,Other_Cellular_Proteins
Q13148,TARDBP,Other_Cellular_Proteins
Q13163,MAP2K5,Cellular Enzymes
Q13188,STK3,Cellular Enzymes
Q13310,PABPC4,Other_Cellular_Proteins
Q13434,MKRN4P,Other_Cellular_Proteins
Q13495,MAMLD1,Other_Cellular_Proteins
Q13946,PDE7A,Other_Cellular_Proteins
Q14005,IL16,Secreted_Factors
Q14050,COL9A3,Other_Cellular_Proteins
Q14126,DSG2,Other_Cellular_Proteins
Q14165,MLEC,Other_Cellular_Proteins
Q14184,DOC2B,Other_Cellular_Proteins
Q14203,DCTN1,Other_Cellular_Proteins
Q14397,GCKR,Cellular Enzymes
Q14500,KCNJ12,Membrane_Proteins
Q14507,EDDM3A,Secreted_Factors
Q14542,SLC29A2,Other_Cellular_Proteins
Q14568,HSP90AA2P,Other_Cellular_Proteins
Q14576,ELAVL3,Other_Cellular_Proteins
Q14623,IHH,Secreted_Factors
Q14692,BMS1,Other_Cellular_Proteins
Q14728,MFSD10,Other_Cellular_Proteins
Q14807,KIF22,Other_Cellular_Proteins
Q14865,ARID5B,Other_Cellular_Proteins
Q14966,ZNF638,Other_Cellular_Proteins
Q14973,SLC10A1,Other_Cellular_Proteins
Q14CM0,FRMPD4,Other_Cellular_Proteins
Q15003,NCAPH,Other_Cellular_Proteins
Q15022,SUZ12,Other_Cellular_Proteins
