Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
MIRNA:hsa-mir-3928~hsa-mir-3928,hsa-mir-3928,hsa-mir-3928,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,48,16.083333333333332,0.044901648488270045
MIRNA:hsa-mir-6885-3p~hsa-mir-6885-3p,hsa-mir-6885-3p,hsa-mir-6885-3p,MIRNA_TARGETS,1,50.0,0.044901648488270045,ZNF275,2,1,2,193.0,0.044901648488270045
MIRNA:hsa-mir-3919~hsa-mir-3919,hsa-mir-3919,hsa-mir-3919,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,56,13.785714285714286,0.044901648488270045
MIRNA:hsa-mir-4495~hsa-mir-4495,hsa-mir-4495,hsa-mir-4495,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,48,16.083333333333332,0.044901648488270045
MIRNA:hsa-mir-3910~hsa-mir-3910,hsa-mir-3910,hsa-mir-3910,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,49,15.755102040816325,0.044901648488270045
MIRNA:hsa-mir-4429~hsa-mir-4429,hsa-mir-4429,hsa-mir-4429,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,56,13.785714285714286,0.044901648488270045
MIRNA:hsa-mir-4458~hsa-mir-4458,hsa-mir-4458,hsa-mir-4458,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,46,16.782608695652176,0.044901648488270045
MIRNA:hsa-mir-4646-5p~hsa-mir-4646-5p,hsa-mir-4646-5p,hsa-mir-4646-5p,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,46,16.782608695652176,0.044901648488270045
MIRNA:hsa-mir-181a-2-3p~hsa-mir-181a-2-3p,hsa-mir-181a-2-3p,hsa-mir-181a-2-3p,MIRNA_TARGETS,1,50.0,0.044901648488270045,ZNF275,2,1,2,193.0,0.044901648488270045
MIRNA:hsa-mir-3133~hsa-mir-3133,hsa-mir-3133,hsa-mir-3133,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,55,14.036363636363635,0.044901648488270045
MIRNA:hsa-mir-6782-3p~hsa-mir-6782-3p,hsa-mir-6782-3p,hsa-mir-6782-3p,MIRNA_TARGETS,1,50.0,0.044901648488270045,ZNF275,2,1,2,193.0,0.044901648488270045
MIRNA:hsa-mir-4645-5p~hsa-mir-4645-5p,hsa-mir-4645-5p,hsa-mir-4645-5p,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,55,14.036363636363635,0.044901648488270045
MIRNA:hsa-mir-4673~hsa-mir-4673,hsa-mir-4673,hsa-mir-4673,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,55,14.036363636363635,0.044901648488270045
MIRNA:hsa-mir-4500~hsa-mir-4500,hsa-mir-4500,hsa-mir-4500,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,46,16.782608695652176,0.044901648488270045
MIRNA:hsa-mir-545~hsa-mir-545,hsa-mir-545,hsa-mir-545,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,51,15.137254901960784,0.044901648488270045
MIRNA:hsa-mir-7-1-3p~hsa-mir-7-1-3p,hsa-mir-7-1-3p,hsa-mir-7-1-3p,MIRNA_TARGETS,1,50.0,0.044901648488270045,BAHD1,2,1,2,193.0,0.044901648488270045
MIRNA:hsa-mir-320d~hsa-mir-320d,hsa-mir-320d,hsa-mir-320d,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,56,13.785714285714286,0.044901648488270045
MIRNA:hsa-mir-203~hsa-mir-203,hsa-mir-203,hsa-mir-203,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,55,14.036363636363635,0.044901648488270045
MIRNA:hsa-mir-4252~hsa-mir-4252,hsa-mir-4252,hsa-mir-4252,MIRNA_TARGETS,2,100.0,0.045757427375479165,"ZNF275,BAHD1",2,2,59,13.084745762711865,0.045757427375479165
MIRNA:hsa-mir-3158-5p~hsa-mir-3158-5p,hsa-mir-3158-5p,hsa-mir-3158-5p,MIRNA_TARGETS,2,100.0,0.045757427375479165,"ZNF275,BAHD1",2,2,59,13.084745762711865,0.045757427375479165
MIRNA:hsa-mir-548t~hsa-mir-548t,hsa-mir-548t,hsa-mir-548t,MIRNA_TARGETS,2,100.0,0.045757427375479165,"ZNF275,BAHD1",2,2,58,13.310344827586206,0.045757427375479165
MIRNA:hsa-mir-320b~hsa-mir-320b,hsa-mir-320b,hsa-mir-320b,MIRNA_TARGETS,2,100.0,0.045757427375479165,"ZNF275,BAHD1",2,2,59,13.084745762711865,0.045757427375479165
MIRNA:hsa-mir-939~hsa-mir-939,hsa-mir-939,hsa-mir-939,MIRNA_TARGETS,2,100.0,0.045757427375479165,"ZNF275,BAHD1",2,2,59,13.084745762711865,0.045757427375479165
MIRNA:hsa-mir-637~hsa-mir-637,hsa-mir-637,hsa-mir-637,MIRNA_TARGETS,2,100.0,0.045757427375479165,"ZNF275,BAHD1",2,2,58,13.310344827586206,0.045757427375479165
GO:0005677~chromatin silencing complex,chromatin silencing complex,"""Any protein complex that mediates changes in chromatin structure that result in transcriptional silencing."" [GOC:mah]",GOTERM_CC_DIRECT,1,50.0,0.049222797927461315,BAHD1,2,1,1,386.0,0.049222797927461315
