uidA,uidB
P20908,Q7Z5K2
P20908,Q9NVK5
A0A075B6P5,P28482
P41180,Q03395
P18075,Q86XT2
A0A286YF60,P42574
P41180,Q96M89
P02461,Q9Y4A8
P02656,P25940
P25940,Q16690
A0A075B6R0,P49841
P37268,Q16539
Q8N752,Q9Y4K3
A6NCI5,P29474
P12524,Q9UHJ9
P04629,Q8NGE8
O94985,P10275
O14788,P0CJ76
P23219,Q96P50
P03372,P11137
A0A0B4J2D9,P02818
P23280,P35354
P01258,Q7Z4H4
P29474,Q6UVJ0
P29474,Q8NGF0
P10451,Q8WU90
P02818,Q49A26
O75381,P43235
Q8TDU9,Q9BQB4
P25940,Q96SL1
P07333,Q8N0W3
P05412,Q8IVF7
P17612,Q9NTX7
P01258,Q68EA5
O14788,Q96CP2
P10415,Q9BXJ0
P12931,Q9NYT6
P28482,Q9Y3R5
P05412,Q12829
P04629,P17677
P10451,P80297
E5RJM6,P10451
O15315,P19838
P31749,Q3LXA3
O00410,P05412
P31749,Q08752
P10275,Q8TC29
O95630,P25940
P03372,Q5JTD7
P06401,Q8IVW8
P04004,Q9BXT2
P04637,Q6NSI1
O15055,P03372
Q04206,Q9UBW7
P11182,P23219
P12524,Q9Y6R9
P98155,Q04206
A6NGY3,P12524
P06401,Q8N6L0
O00399,P31749
P55283,Q9Y4K3
P01106,Q8WV07
O14788,P11684
P31749,Q9HCU5
P29474,P62847
O95398,P12524
P02818,Q9UJ70
P23219,Q96C23
P02751,P42127
O43462,P04637
P78310,Q9UNN8
P02461,Q9UHD2
P18075,Q92985
A0A0B4J280,P06401
Q9BQS8,Q9UNN8
A0A075B6H9,P43235
P02461,Q6L8Q7
P12524,Q96LR2
P10275,Q494W8
P43235,Q96QS6
O14788,P78423
P02461,Q9BWW4
P01258,P50120
P35354,Q6XUX3
O15315,Q9BQB4
Q14126,Q9Y4K3
Q17RA5,Q9Y4K3
P06401,Q9H410
P05997,Q2T9L4
O15439,P02751
P01106,Q99661
P10415,Q93063
P02452,Q9ULC0
P02818,P53041
P01721,P43235
P20908,Q5T2W1
Q04206,Q86VE3
P08123,Q96EU7
P35354,Q6UXV1
P08123,Q96NN9
Q99986,Q9UNN8
P05412,Q8TDN2
P02452,Q9UBR1
P43235,Q9NYQ6
P29120,P34972
P0DP42,P12931
P05997,Q92538
P04629,P61567
P12931,Q6W2J9
P41180,Q8N614
P20908,Q9P126
P25940,P82909
O14526,P42574
P43235,Q2M1P5
P42574,Q7LFX5
P03372,Q5VU43
P04198,Q8NFL0
P25940,Q8TDN4
P10451,Q8TCG5
P07864,P19838
P07333,Q9UQB8
P05412,Q8WWB7
P05412,Q96EP9
P02818,Q5MJ07
P43235,Q8NGI6
P25940,Q9BYP8
P07954,P19838
Q5J8X5,Q9BQB4
P08651,P12524
P19838,Q4AC94
P42574,Q96MF0
P41180,Q86VH5
P23219,Q8NEV9
P28482,Q9H3R2
P02452,Q5VXJ0
Q16539,Q9NZM3
P19838,Q92558
Q99707,Q9UNN8
O94762,P12524
P29474,Q9UNH6
P34972,P58550
O00167,P43235
Q9BQB4,Q9Y5X3
P12524,P43357
P12319,P31749
P31749,Q96DZ1
P01258,Q9H1Y0
P07864,Q9BQB4
P02751,P09565
O60353,Q9Y4K3
O94907,P05997
P04637,Q8TD26
P02818,Q6PL24
Q9Y4K3,Q9Y534
P04637,Q9H307
P10415,Q8TE76
P43235,Q5T124
P02452,Q3C1V1
P49841,Q12974
P08123,P0DP04
P28482,Q96KM6
P61011,Q04206
Q5VT03,Q9Y4K3
A0A286YF01,Q9UNN8
P29474,Q96RQ1
O00469,Q16539
P04637,Q9H2S9
O75346,P06401
A6NE82,Q9Y4K3
P49841,Q96N16
P34972,Q9NSY0
P06401,P0DW28
A0A0A0MS01,P20908
P05997,Q15053
P12524,P62487
P31749,Q9BXF6
P43235,Q9BQE3
Q16539,Q56UQ5
P04637,P20941
O75293,Q9UNN8
A0A096LP01,P20908
Q96EP5,Q9Y4K3
P07333,Q9Y6Q6
P20908,Q9H6H4
Q16539,Q8NHK3
O75312,Q9UNN8
P31749,Q15397
P35354,Q86WV5
P04629,Q99835
P19012,P43235
O15263,P08123
P41180,Q8IYM0
P25940,Q8TC92
P01106,P42345
P08123,Q9H4K1
O76031,P03372
Q9BQB4,Q9HBH0
Q9BZK3,Q9UNN8
P02452,P10589
Q8IUA0,Q9BQB4
P12643,Q629K1
P35354,Q9H1K4
P12524,Q9HBY0
P02452,P32971
O75335,P12643
P03372,P08912
Q16539,Q8N4Q0
P35354,Q5VU92
P10415,Q01780
O75056,P03372
P31749,Q14249
P12829,P28482
P41180,Q8WWR9
P31749,Q9NUH8
P01258,Q9UBK8
P18075,Q07002
A6NM43,P05412
P43235,Q4G0S7
P01106,P17544
P04198,Q9UBV8
O75679,P23219
P02461,Q9H8X2
O15265,P10275
P10415,Q8IYW4
P06401,Q08708
O00635,P17612
P29474,Q07108
P05997,Q99638
P01106,Q9NRH1
Q8TAP6,Q9Y4K3
P04637,Q00013
Q6PGN9,Q9BQB4
P42574,Q9NQ88
P02461,Q6PD74
P19838,Q9BZK8
P20908,Q0VD86
O75888,P41180
P10415,Q15846
O94921,P04198
P10275,Q53S33
P49841,Q9H1M3
P04198,Q2M218
P10275,Q9UJL9
P34972,Q969Q5
O14791,P05412
P02751,Q8IWY4
P31749,Q9UPN6
P28482,Q2M385
P04629,Q7RTV0
P02751,P49747
O75603,P28482
P01258,Q9NXI6
P01258,Q96S52
P02751,Q8NG27
P23219,P63096
O60716,P02818
P00740,P02818
A2RRD8,P42574
O14618,P02452
P41180,Q9P289
P12524,Q9Y5B0
A6NC86,Q04206
Q7Z4B0,Q9Y4K3
P06401,Q9BQK8
P05997,Q8NBL1
P12524,Q9UKH3
P06401,Q96A56
P25940,Q96HV5
Q16539,Q9P2H0
P05412,Q9BZR9
P01106,Q13363
Q6A163,Q9UNN8
P20908,Q13219
Q96MH2,Q9Y4K3
Q9UMZ2,Q9Y4K3
P02751,Q96MP8
P29474,Q969M3
P12524,Q86U90
O14788,Q17RB0
A0A3B3IU63,P12524
P18075,Q9BTX1
P03372,P51797
Q9BQB4,Q9UBL0
O14543,Q04206
Q9Y4K3,Q9Y5Z0
P04637,Q8N8Q8
O95922,P49841
Q8N0W4,Q9BQB4
P04637,Q9H1C7
P19838,Q8N8I6
A0A1B0GVG6,P31749
P06401,Q8N0V3
P17612,P24158
P48146,Q04206
P02818,Q14D33
P05997,P58180
P08123,P56945
P41180,Q15544
P02461,P35590
O43296,P10275
Q04206,Q96KX0
P04198,Q8N9R8
P05997,Q8WX93
P19623,Q9UNN8
P07333,Q8WZA1
P25940,P98153
P01258,Q3C1V8
P03372,Q8N442
P02818,Q9NZV7
P41180,P51668
P31749,P56705
P17612,Q8NFJ8
A8MVA2,P29474
P02751,P25098
P02751,Q9ULB4
P07333,Q7LBC6
P02452,Q9NPJ4
P08123,P22309
O94907,P10451
P18075,Q8NFI3
P06401,Q14162
A8K855,P12643
P04637,Q9UNX3
P02461,Q96RL6
P05981,P31749
P05412,P31995
Q04206,Q9Y6E0
P25940,Q32P51
P28482,Q3T8J9
P10451,Q86WS3
P02818,Q8IWY9
P02751,P29475
P04637,Q9UH64
P10275,Q9NQZ2
P0DPA2,P19838
O00401,P25940
P04004,P05230
P06401,Q96AK3
Q04206,Q9BT49
P19838,Q8N7B1
P05997,Q9HCJ1
P10451,Q92618
P12524,Q14CX5
P17612,Q86TB9
P05412,P20962
P04637,P23490
P20908,Q9BTX3
P02751,P03897
P12931,Q12983
P01106,Q8N554
P49841,Q13131
O00161,P02818
P01106,Q9NQV5
P34972,Q9UKT4
P02751,P09958
Q16539,Q5VTL8
P34972,P51693
P02452,Q8NHC7
O00124,P17612
P12643,Q9UDX5
P34972,Q5VTM2
Q4KMG0,Q9BQB4
P08123,Q9BWM7
P25940,Q9HAE3
O43490,P20908
P62736,Q9UNN8
P08574,P10451
O15540,Q9Y4K3
P04198,P10176
P12643,Q9Y5G1
P19838,Q13686
P12643,P25105
P07333,Q969S0
P02452,Q8TBP6
P42263,Q04206
O43865,P04198
P04637,Q8IYT1
H3BPF8,P10415
P19838,Q641Q2
O76076,P02751
P02751,P78314
P25940,P49720
P05412,Q6ZRT6
O14788,Q8TED0
P02461,Q02086
P34972,Q7Z4L0
P42574,Q5VTQ0
P03372,Q8TC07
P04198,P82970
Q9H814,Q9Y4K3
P31749,Q8TAE7
O14788,P13196
P10451,Q969Q4
O60299,P35354
A0A0B4J1V2,P06401
P18075,Q9Y4I5
P35354,Q9BWU0
P10415,P20809
P02452,Q9UBC7
P19838,P53794
P04637,Q13620
P02452,Q5TYM5
O00442,P01258
P25940,Q9H6Y2
P14416,P42574
Q2M3C7,Q9UNN8
P42574,Q711Q0
P34972,Q9BY79
O60927,P12524
A6NES4,O14788
P17612,Q96A11
Q76FK4,Q9Y4K3
Q6ZMZ0,Q9UNN8
Q16539,Q8N4T0
P02751,P41743
Q16539,Q7Z6J0
P06401,Q96FM1
P23219,Q2M2D7
P02751,Q96SB3
P12931,Q2TAC6
P35354,Q3SXZ7
P29474,Q9H4P4
P25940,Q9BUH8
P02461,Q8N7A1
O95429,P23219
P05412,Q5T0Z8
A1A5B4,P28482
P19838,Q2KHN1
P23219,P57768
P04637,P59534
P05997,Q13625
P23219,Q9BUH6
O14966,P12524
P19838,Q9Y3B6
P12524,Q53GG5
P04637,Q05655
P45973,Q9UNN8
O95405,P02452
P41180,Q8NE00
Q16539,Q8IZE3
P02452,Q6P6B1
P02461,P07451
P02751,Q16348
P19838,Q8IXQ4
P18075,Q8WVF2
P35354,Q9Y2I7
Q86TG1,Q9UNN8
Q8TDB4,Q9UNN8
P02452,Q8N1K5
A6H8M9,P08123
P31749,Q9BZA7
P10415,Q7Z6M4
P23219,Q8NBF4
P10415,Q6PML9
P11509,P18075
P01699,P07333
P06401,P32519
P07438,P12643
P01258,Q7L0J3
P07333,Q8N7U7
P04629,P42285
O94813,Q16539
P02751,Q9BSG1
P10451,Q96A61
P35354,Q8N682
P31749,Q4G0T1
P49841,Q5SWW7
P07333,Q6P1Q9
O14788,O43156
P12643,Q6ZVT0
P10275,P55344
P04004,Q96BN8
P20908,Q765I0
A6NDD5,P05412
O60725,P02452
P06401,Q15915
P06401,P51587
P01258,Q7RTT3
P41180,P45974
P04198,Q8IUQ4
O95425,P04629
P02461,Q86VS3
O15498,P04198
P19838,Q8N7R0
P04629,P23526
P05997,Q9NRF8
P07333,P46939
A8MZH6,P01106
P05412,P0C7H9
P32243,Q04206
P23219,Q96L21
P01258,Q96N38
Q00LT1,Q16539
P01258,Q96T83
P10275,Q06413
P02751,Q8NA92
O43897,P03372
P20908,Q9NPL8
A0A1W2PR95,Q16539
O00178,P29474
P04637,Q9H9L3
P02751,Q86YV9
P04004,P80108
P49841,Q9H773
P04150,P35354
O95409,Q9Y4K3
P04004,Q8NAA4
O76014,Q04206
P07333,Q8N3F8
Q9NQW6,Q9UNN8
P02818,P35579
O75928,P06401
P02751,Q8IW00
P19838,Q7Z4Q2
Q8N7Z2,Q9UNN8
O43315,P06401
A8MYJ7,P19838
P42574,Q96EU7
P03372,Q9ULD2
P01024,P25940
Q7L804,Q9BQB4
P02461,Q9UPU9
P23219,Q9BWH6
P41180,Q96N03
C9JFL3,P49841
P18075,Q9ULQ1
O14788,Q6ZP65
O00421,P43235
P02751,P62891
P03372,Q8N8Y5
O15372,P10415
Q04206,Q9BRP4
P07333,Q96N11
O75365,P20908
Q9H6R4,Q9UNN8
P42830,Q9BQB4
Q3ZCM7,Q9BQB4
O95834,P28482
P02461,Q9UM11
P10275,Q8NEJ0
O15075,P12931
P02461,Q9H3R1
A0A3B3IT33,P05412
P10415,Q9UQ53
P02751,Q8IZJ1
P07333,Q9H8M2
P04004,Q9NX55
Q8WZA2,Q9Y4K3
P12643,P14138
P42574,Q53HC9
E5RJ46,P07333
A8MYJ7,Q9BQB4
P04198,P18848
P19838,P49765
P02751,Q9Y264
P10275,P56134
P10451,Q15633
P07333,P48741
Q16539,Q6P2I3
P02818,Q9BQY9
P12643,P52737
P07333,Q13107
O95672,P04004
P49841,Q96NB2
Q16539,Q9Y2Y8
P31749,Q92915
P25940,P60985
Q8IYR2,Q9BQB4
P49841,Q8WUY8
P42857,Q9Y4K3
P25940,Q8N7S2
P08123,Q6UXT8
P04198,Q96JQ5
P01133,P02461
P12931,Q9GZT5
P23219,Q8TB33
P03372,Q9UHB4
Q6ZSR6,Q9Y4K3
P28482,Q8N2K0
P17612,P40313
P02452,Q9H1P6
P02461,Q8IWZ8
A4GXA9,P05412
P20908,Q6UWV6
P02452,Q96GY0
A6NJ46,P07333
P51449,Q9UNN8
P04629,Q6UWX4
P19838,Q9NRS4
P20908,Q96LR9
A3QJZ6,P29474
P01106,Q9UI38
P07333,P35557
P08123,Q96AT1
P10275,Q9H7V2
P12524,Q8N4E7
P10451,P49354
P34972,Q15427
Q9BZZ5,Q9Y4K3
I3L3R5,P04629
Q04206,Q9H479
P34972,Q9HAW8
P04198,Q8WXI3
P35354,Q8NAE3
P35354,Q8N1Q1
P21359,P29474
A4D126,P41180
P07333,Q86WV1
P02452,Q6WN34
B1AMM8,P49841
O14788,Q8WWH5
A0A1W2PQ27,Q04206
P02452,Q16559
P05997,P57053
P28482,Q5VZ19
P10415,Q7Z5Y7
P05997,Q147U7
P12931,Q8NHB7
P06401,Q9UM19
P10451,Q8NI77
P11488,P25940
P31749,Q70J99
P05412,Q8N6F7
P04004,Q8NFU7
O14545,P10275
Q8NEA6,Q9BQB4
P23219,Q15672
O76099,P06401
P10275,Q9NP61
P01106,P42262
P34972,Q01064
P10415,Q9NQP4
P08123,P42229
P02461,Q8N3R9
P07333,Q8N4P6
Q16539,Q8N8Q1
P19838,Q8WYQ9
P12931,P49406
Q9BQB4,Q9NR55
P0C7X4,P20908
P42574,Q9H4K1
Q16539,Q9Y6M9
P05997,Q9H2K2
P02818,Q6UWF9
P12643,P62304
P04198,P49146
H3BQJ8,P31749
O95415,P12643
P07333,Q6UY14
P12643,Q9NYY1
P42574,Q8IWL8
P31749,Q14549
P34972,Q8N5M9
P02452,Q9UN75
O00230,P02818
P01106,Q96G21
P04629,Q8IZF0
P10415,Q8TAM1
P02751,Q32ZL2
P04629,Q5VZB9
P18075,Q9Y2B4
P01106,P31645
O14788,Q8TAT5
P49841,Q2V2M9
P02751,Q96DX8
P01033,P20908
P23219,Q16778
O75631,P02818
Q96K58,Q9BQB4
P02649,Q9UNN8
O15231,P17612
P25940,Q9NVD7
P41180,Q9H2P9
P01768,P28482
Q9BQB4,Q9UPT8
P28482,Q5FYA8
Q04206,Q6P3V2
P04629,Q96NJ1
P01258,Q4G148
Q16539,Q6UX53
O95259,P43235
A6NFE3,P02461
P02818,P05181
P02461,Q9UIF7
P05412,Q9NZI6
P10451,Q96G27
A6NND4,P03372
P01258,Q96HH9
P41180,Q9BZQ4
P34972,Q9H147
P0C5K6,P10451
P51153,Q16539
P25940,Q9UBE8
P02461,Q96GI7
P0DJH9,P42574
P25940,Q9Y2K9
P01258,Q6PHW0
P02751,P05455
Q9BQB4,Q9NXK6
P18075,P57796
O75426,P02818
O14788,Q8NA61
O00238,P03372
P20908,Q8NEN9
P10451,Q9UNE0
P01258,P04844
P12757,P35354
P05412,Q9C056
P02751,Q14642
P05412,Q8IUW5
P20908,Q86XX4
P28482,P55060
Q8IYA8,Q9Y4K3
Q04206,Q9Y2U2
P28482,Q96PE1
O14788,Q86XP6
O60437,Q9Y4K3
Q8NGN0,Q9UNN8
O94903,P02452
P23219,P54646
O95544,P19838
P41182,P42574
Q96MN9,Q9UNN8
P28482,Q9BYR0
Q8WZ69,Q9BQB4
P03372,P0DP73
P0C7P0,Q9UNN8
P12931,Q9ULZ1
P18075,P62330
P02461,Q6E213
P08123,Q92630
P19838,Q9NY74
P10451,Q96DW6
P29474,P48048
P12643,Q9H098
P42574,P56945
P08670,P29474
P05997,Q969H9
P05412,Q8N9V6
P18075,Q96BW1
P17612,Q6ZVL8
Q8NEV9,Q9Y4K3
Q8IWZ5,Q9UNN8
P28482,Q6ZNI0
P04004,Q99469
O00629,P02818
P06401,P32241
P04004,Q15012
A0M8Q6,P23219
P08581,P10275
P01106,Q02297
P06401,Q5QJE6
P29474,Q86UT6
O14788,Q9HBI5
Q5T6L9,Q9UNN8
O95544,Q9BQB4
P03372,Q8N3Z6
P04004,Q9NR19
P01877,P18075
P01258,Q8NHW3
P05997,Q71U36
P02461,Q8NHY2
P19838,Q96EY4
A4D263,P12524
P29474,P53609
P19838,P51512
Q04206,Q9Y294
P05412,Q9UH73
P34972,Q9UMS0
P02452,P29016
P02751,Q6IMI6
P28482,Q8N1E6
O60667,P20908
P03372,P18074
P11182,P25940
F8WCM5,P02452
P04637,Q8NGS9
P02452,Q9UBR5
P28482,P31943
P02818,Q93083
Q13253,Q9Y4K3
P12931,Q86UK5
P25940,Q9BTC8
P08476,P17612
P03372,Q9Y5E6
P03372,Q6P4H8
P19838,Q93033
P35354,Q8TBN0
P02452,Q9Y5P3
P20908,Q56UN5
P01106,Q86WZ6
A6NE52,P42574
P10451,Q9H208
P25940,Q17RP2
Q9BPW5,Q9Y4K3
P02461,Q5HYA8
P29474,Q6UXB8
P06401,Q8NGU1
O95208,P41180
P17612,Q8WUM9
P04637,Q8N7U9
P04637,Q8IVL5
P12931,P48506
P04183,P12643
Q8TEJ3,Q9Y4K3
P49841,Q07444
P01106,Q96C74
P12524,Q8IYJ2
O43272,P02751
P01258,Q9Y3E7
P29474,Q6UW63
P35354,Q2M3C6
O14788,Q8N2A0
P02452,Q8IYS1
Q04206,Q8TEM1
P12931,Q04118
P29474,Q496H8
P0DUX1,P49841
P34972,Q969W3
D6REC4,P05412
P04049,P10415
O43511,P41180
P08123,Q5VVH5
P05997,Q96IK0
P07333,Q68DA7
P05997,Q9H4G4
P34972,P36382
P23219,Q7Z388
P05412,P28356
P10415,Q9NZC2
P08123,Q8N1N2
P03372,Q2M2E5
Q16539,Q86YS7
P12931,Q13576
Q5T1S8,Q9BQB4
P10415,P52848
P04637,P43307
P41180,Q9C0I3
P04198,P49796
P01106,Q69383
P43234,P43235
P05412,P52429
P03372,Q9H3R5
P0DKV0,P19838
P12643,Q8IWU6
P34972,Q9H3S5
P34972,Q9P0S2
P04637,Q9NQG1
P41180,Q8WXF8
Q15269,Q9UNN8
P12524,Q9BUB4
P02461,Q14005
P02751,Q08357
P04637,Q9Y2B2
P02452,Q9Y6Z4
P03372,Q96HE9
P12931,Q9HBQ8
P05412,Q15561
P03372,Q01362
P01106,Q6UX04
P28482,Q96PS1
P05412,P51571
P02818,Q9BQE9
P04637,Q7L1T6
P01258,P0DN26
P0DKV0,Q9BQB4
O14788,P01601
P23219,Q8NEA6
P35354,Q96GX5
P08123,Q6NUM9
A0A286YF77,P23219
P02818,P68363
P03372,P0CZ25
P23769,P25940
O14788,P22234
P34972,Q8TD17
Q76KD6,Q9BQB4
P27987,P29474
O95503,Q9UNN8
P02818,Q06643
P25940,Q6RFH8
P07333,P27695
P04629,Q13443
Q04206,Q8N8M0
P31749,Q8NBB2
P05412,Q9UKL4
P10415,Q5HYK7
A0A087WSY4,P18075
P04004,Q6B0B8
P43235,Q9NRG0
O14788,Q96RI9
P01106,Q9BRG1
Q15361,Q9Y4K3
P02461,Q8NBJ9
P35354,Q96FT9
P19838,Q16698
P01106,Q01726
P31749,Q9BQY4
P02461,Q96CH1
P33176,Q9Y4K3
P05412,P56693
P05412,Q9NRJ2
P03372,Q02742
O60883,P17612
P12931,Q6ZNW5
P09341,Q9UNN8
P06401,Q9HBZ2
P04637,Q3KR37
P10415,Q01629
P23219,Q9H2F9
P04844,P06401
P02461,Q86UN2
O43173,P12931
P31749,Q6UWY0
Q8WVK7,Q9Y4K3
A6NDV4,P04198
A0A1B0GUT2,P12643
P06401,P48448
P04004,P29074
Q16539,Q8NCS4
P35354,Q5TCM9
P05412,Q9HDC9
P23219,Q14525
O15428,Q9UNN8
P10415,P11940
P02818,P48167
P18075,Q96C92
Q9NRY6,Q9UNN8
P43235,Q8N2X6
P20908,P35659
P01258,Q8IX21
P02751,P0DO97
P29474,Q14586
P00709,P02452
P02751,Q9BY64
P08123,Q5TEU4
P05412,Q14114
O75679,P25940
P12931,Q96LZ7
O14788,P51671
P42574,P49792
P19838,Q96K80
P12931,P81605
P34972,Q06413
P02452,Q9NRL2
P25940,Q9H252
P04198,Q5MNZ6
P25940,Q14232
P02751,Q9UJY5
P43235,Q96QS3
O75976,P03372
P01258,Q495Y8
P06401,Q8N8E2
O14788,P60174
P43235,Q9Y2H0
A6NJU9,P12643
P10275,Q7L7L0
P10415,P17482
P29474,P53671
P23219,Q8IVW1
P12643,Q9BT17
P04198,Q8N680
P01258,Q0VF96
P04004,Q9ULV3
P25940,Q9H5K3
P35354,Q96C45
P18075,Q9P267
P17612,Q96A99
P18075,Q8N5M4
P02818,P17658
P10275,Q9H5N1
A6NHQ2,P10415
P08729,P19838
P25940,Q7Z4G4
Q04206,Q86YC3
P02818,Q15555
P18075,Q16281
P32189,P35354
O14498,P20908
P02452,Q86XR2
O14788,Q9H1X3
P02647,P18075
Q04206,Q9NYW3
A0A183,P41180
P10275,Q6UW78
P05412,Q8N468
Q0P6D6,Q9Y4K3
P05997,P49910
O14788,P63027
P04004,Q96M93
Q04206,Q05519
P23219,Q6P9G0
P03372,Q717R9
Q6P1J9,Q9UNN8
P10415,Q7Z7M1
P02751,Q8NH79
P04198,Q8WVX3
P18075,Q96QE2
P31749,Q9Y5U8
P12524,Q8NGV0
P14652,P17612
Q04206,Q6ZNK6
Q99946,Q9UNN8
P04629,Q969U6
P05412,Q15139
P02818,Q9NYV7
P04004,Q9HAS3
P20908,Q8TDY4
P10415,Q8IX01
A0A0J9YXG5,P10415
P06401,Q75LS8
P07333,Q96DD7
P10275,Q9NUB1
P41271,Q9Y4K3
P04004,Q7Z3K6
P35354,Q52LW3
P02818,P16403
P04198,Q96MX6
P10275,Q9NVA1
P08729,Q9BQB4
P42574,Q6UXT8
P20908,Q96RG2
P34972,Q9UJW7
P19838,Q96R45
P03372,Q8NC38
P49841,Q9NVI7
P41180,P56385
P10275,P13497
O60336,P41180
P43235,Q86VX2
P31749,Q7Z398
D6R9N7,P18075
P02818,Q96DB9
A6NC57,P02751
P12931,Q9ULZ9
P10275,Q8IXF0
P12643,Q5FYB0
P31947,P41180
O14788,P23378
P15328,P31749
P02461,Q8N8H1
P17612,Q7Z7B8
O14788,P59046
P43235,Q8WVH0
P02461,P61011
P01258,Q9BSR8
P12931,Q5EBL4
P08123,Q9NRR3
P02461,Q9Y5K1
P04637,P08572
P07333,Q9UQF2
P02751,Q99259
O14788,Q9H840
P04629,Q9Y3C5
P19838,Q9UET6
P13533,P49841
O14511,P04004
O96004,P02452
P31749,Q8IZP6
P35354,Q7Z340
P07333,Q16667
P04004,Q6P2Q9
Q8WZA0,Q9Y4K3
P29474,Q92989
P0C0L4,P12931
P17538,P28482
P04637,Q9H0M5
P29474,Q96R05
P02452,Q5VUB5
P05412,Q6XR72
P20908,Q9BYV7
P20908,Q96R47
C9JDP6,P23219
P10275,Q6ZRF7
O43670,P02461
Q04206,Q9UHP6
P31749,Q3MJ13
A0A0B4J2A2,P12931
P04637,Q92673
O95425,Q9Y4K3
P25940,Q7Z7M0
O43167,P04198
P29474,Q86UR1
Q16539,Q8NEX9
P03372,Q96SB8
P04198,Q96B42
P04198,Q9C0D3
P12524,Q8NFQ8
P42574,Q9BTN0
P43235,Q86U17
P28482,Q96PB8
Q92888,Q9Y4K3
P25940,P54826
P10275,Q00577
P07510,P10415
P07333,Q9BZG1
P35354,Q9UHL9
A0A2R8Y4Y8,P49841
P04004,Q495Y7
P12643,Q8N7Z5
P05997,Q9NQ76
P06401,Q8N448
P05997,P47888
P02461,Q9H4I2
P12643,Q96RW7
P43235,Q8N6I1
P25940,Q96NL0
P49841,Q96JP9
P09110,P43235
P31749,Q9H9Q2
P29474,Q8TCN5
P04004,Q9GZQ6
P02461,P0DN25
P10415,Q9Y215
P05997,Q96P44
P05997,Q9Y547
P01258,Q9NR45
P02452,Q9H324
P02751,P54577
A8MXK1,P06401
P07333,Q9UHF3
P08123,P67936
Q96QK1,Q9BQB4
P08123,Q9P0L9
P01106,Q8N8W4
P43235,Q9NS75
P04004,Q9C0D4
A0A1B0GV85,P02818
P10451,Q9NWF4
P31749,P47224
P25189,P42574
O95429,P25940
P01258,P35346
P19838,Q8NGX6
P12643,Q9P1P4
P35354,Q9NQT8
O75437,P02751
P04004,Q96HE8
P20908,P23975
Q9BQB4,Q9BXL8
A0A1B0GTQ4,Q9Y4K3
Q8TAQ5,Q9BQB4
P18075,Q96PE2
P04637,P51508
A6ND48,P20908
P03372,Q8TDV2
P41180,Q9UNN8
P35354,Q56NI9
P19876,P42574
P20908,Q8NGF6
P04198,Q96NS5
P25940,Q658T7
P04198,Q17R31
P12931,Q13367
I3L3R5,Q9Y4K3
P12931,Q9BTT4
P10415,Q8N9U0
P41180,Q86Y46
P35354,P35711
O75106,P04637
Q8N112,Q9Y4K3
P04637,Q13610
P10451,Q96QC0
P83876,Q04206
P08123,Q96C36
P02461,Q16552
P28482,P62906
P06401,Q9UJQ7
P01106,Q9UGN5
P06401,Q99715
P34972,Q5TAX3
Q8N6W0,Q9BQB4
P04198,P62841
P06401,Q8IWP9
P05412,Q86TL0
P12643,Q9HAT2
P10265,Q9BQB4
Q04206,Q8IWG1
P02461,Q8N9E0
P20908,Q9ULS5
P49841,Q12946
P04637,Q6WBX8
P43235,P78310
P03372,P16383
O95639,P04629
P43235,Q9P203
P01106,Q8N3F0
P08123,Q8WYP3
P03372,Q9Y3M2
P05412,Q6ZQY7
P01008,P19838
P18075,Q5VWT5
P51397,Q9UNN8
P41180,Q8WW38
P02818,Q96IC2
P12643,Q8TDI7
P41180,Q13214
O14788,P51572
A8MUM7,P29474
P03372,Q9NYL2
P20908,P49768
P04198,P54803
P20908,Q9Y5X9
P60323,Q9UNN8
O14788,Q99714
P20908,Q7Z3S7
O94889,P43235
Q5VTM2,Q9UNN8
P08123,Q96KG9
P20908,Q9NY57
P04198,Q9Y376
P17612,Q9H1L0
P01258,Q9Y5X4
Q04206,Q96LT7
P10600,P12524
P10415,Q13424
P04637,Q9P2K1
Q96GE4,Q9Y4K3
P34972,Q6ZRV3
P01008,Q9BQB4
P23219,Q96RY7
Q86XR8,Q9BQB4
P19838,Q7Z407
P34972,Q9BWD3
P07333,Q96AP4
P12524,Q01344
Q16539,Q8N0X2
P10275,Q8N0S2
P04198,Q96HE7
Q9GZX6,Q9UNN8
P12643,Q96R30
P08123,Q8TA86
P20908,Q1HG44
O60543,P03372
P02818,Q9Y267
P10451,Q9HCK5
P12524,P22888
O00483,P12524
P01258,Q3MIP1
P04629,Q9BV47
A0A0A0MT76,P10415
P04629,Q70YC4
Q00535,Q9BQB4
O94964,P02751
P19838,Q9H8V3
Q16539,Q5HYR2
Q16539,Q9Y2K7
O43586,P42574
P07333,P20700
P07333,Q86SQ6
P20815,P28482
P04629,Q9BXI6
Q16539,Q9UIK5
O75439,P06401
P05997,P46059
P55061,Q9UNN8
P20908,Q8NGY7
P12524,Q13451
P25940,Q92785
P02461,Q16798
Q16539,Q96B97
P20908,P51636
P10275,Q9HD47
P23219,Q6PI97
P04629,P31939
P02452,Q3B820
P19838,Q8N539
P08123,Q9Y5C1
Q6EBC2,Q9Y4K3
P02751,Q9H1A7
P42574,Q8N1N2
P12643,P60953
P04637,P62979
P10114,P29474
Q16539,Q8N1F7
P04629,Q8NFZ4
P03372,Q9BY07
P17612,P35680
O43447,Q9BQB4
P07333,Q09FC8
P12643,Q9H0H0
P04637,P30532
