uidA,uidB
Q8N4V1,Q9UNN8
P02461,P05060
P31939,P35354
O43294,P34972
P43235,Q8N162
P12931,Q8N2G6
P31749,P54368
P01258,P13647
P07333,Q00987
Q04206,Q5D1E8
P28482,Q9NPC1
P26378,P35354
P00505,P02452
P07333,P32320
P07333,Q96L92
P06401,Q5T5M9
O94874,P05997
P12524,P57053
P05997,Q14432
P12524,Q147U7
O00206,P18075
P06401,Q9Y233
P01106,P03952
P20908,Q16280
O75159,P25940
P03372,Q6UXT8
O75409,P08123
P02818,Q5K651
H3BQJ8,P04637
P08123,Q969F8
P12643,Q9BQ39
P48029,Q04206
P43235,Q9Y2Y6
P03372,Q96AT1
P05997,Q52WX2
P07333,Q5T160
P09564,P43235
P01258,Q7L513
P31749,Q5T2D2
P08123,Q99944
P12524,Q9H2K2
O60462,P12524
P34972,Q15056
P41180,Q8WUY3
P29474,Q8N967
P19838,Q5TAH2
P41180,Q07326
P04004,P19544
P07333,Q8WXK4
P07333,Q9H8G2
P35354,Q96A58
P04004,Q96KF2
P12643,Q6UXF7
P02452,Q6ZR62
O43765,P12931
P06401,Q92748
Q8N4H0,Q9BQB4
P04004,Q8TD10
P03372,P42229
P04004,Q14679
P06401,Q5JUK2
O95279,P02751
P10275,Q86XF0
P10415,P54725
P01258,Q92508
Q04206,Q9H6U8
P04004,Q8N5W8
Q8WVV4,Q9Y4K3
P10155,Q16539
P05997,Q9BZV2
P04629,Q9BQ15
Q04206,Q8N9N5
P08123,Q13015
P01106,Q7Z7B8
P41180,Q8NEV8
P04637,P58340
P02461,Q6S545
P20908,Q8NFX7
P19838,Q7Z2D5
P0DUD2,Q04206
P10415,Q96KV6
P08123,Q9NWQ9
Q16539,Q9Y3R4
P08123,Q96GR2
P12931,Q9H1D9
P02452,Q8WVB3
P12931,Q86YV5
P02751,Q49A92
P12109,P41180
P12931,Q9NYD6
P05412,Q8NGF6
P28482,Q9H4D0
P06401,Q8NFA0
P04629,Q12852
P02461,Q8N695
P10451,P61923
P10451,P48739
P0DX02,P12524
P17612,P48051
P04004,Q96F85
P42574,Q5VV16
P17612,Q99965
O00230,Q04206
P43235,Q9HAV7
P01258,Q68D42
P10451,Q9NV35
O14788,Q8N0U6
P43235,Q969G3
O95678,P29474
P18075,Q9UI25
