uidA,uidB,method,Host_organism_taxid,numParticipants
K7PPA8,P46821,"psi-mi:""MI:0416""(fluorescence microscopy)",taxid:9606(Homo sapiens),2
K7PPA8,P46821,"psi-mi:""MI:0416""(fluorescence microscopy)",taxid:9606(Homo sapiens),2
K7PPA8,P46821,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
K7PPA8,P46821,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
K7PPA8,P46821,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
K7PPA8,P46821,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
K7PPA8,P46821,"psi-mi:""MI:0416""(fluorescence microscopy)",taxid:9606(Homo sapiens),2
K7PPA8,P46821,"psi-mi:""MI:0416""(fluorescence microscopy)",taxid:9606(Homo sapiens),2
K7PPA8,P46821,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
K7PPA8,P46821,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q8N9P6,Q38SD2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q99816,Q9H3S7,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q99816,Q9H3S7,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q8TBZ0,O95864,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
P31946,A0A024R9P6,"psi-mi:""MI:0416""(fluorescence microscopy)",taxid:9606(Homo sapiens),2
P31946,A0A024R9P6,"psi-mi:""MI:0813""(proximity ligation assay)",taxid:9606(Homo sapiens),2
P31946,A0A024R9P6,"psi-mi:""MI:0813""(proximity ligation assay)",taxid:9606(Homo sapiens),2
P31946,A0A024R9P6,"psi-mi:""MI:0416""(fluorescence microscopy)",taxid:9606(Homo sapiens),2
P31946,A0A024R9P6,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P59595,P24385,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9NQS7,P45973,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9NQS7,P45973,"psi-mi:""MI:0416""(fluorescence microscopy)",taxid:9606(Homo sapiens),2
Q9NQS7,P45973,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9H5P4,Q13402,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
